Wood Buffalo Environmental Association - Continuous Ambient Air Quality Monitoring Program
For authorized use only
AMS01, L1, 5Mn
Exported On:,2022/08/24,10:44
Date Range:,2010/8/23,0:00,to,2022/8/23,23:00

Date/Time, CO (ppm), CO2 (ppm), SO2 (ppb), H2S (ppb), H2S (ppb), TRS (ppb), NO (ppb), NO2 (ppb), NOX (ppb), THC (ppm), O3 (ppb), NH3 (ppb), PM2.5 (ug/m3), NMHC (ppm), CH4 (ppm), Temp @ 2m (deg. C), Temp @ 10m (deg. C), Wind Speed @ 10m (km/h), Relative Humidity (%), Wind Dir.  @ 10m (deg.)
2022-05-24 10:20:00,0.18,423.1,0,0,0,0.29,0.34,0.72,1.07,2.01,27.82,Cal,3.66,0,2.01,8.93,8.47,7.34,41,177.1
2022-05-24 10:25:00,0.19,422.8,0.08,0,0,0.33,0.3,0.67,0.97,2.01,27.74,Cal,3.87,0,2.01,9.13,8.5,8.32,41,165.3
2022-05-24 10:30:00,0.18,422.8,0.05,0,0,0.34,0.35,0.79,1.14,2,28.07,Cal,3.85,0,2,8.9,8.3,6.67,40,177.4
2022-05-24 10:35:00,0.17,423.1,0,0,0,0.34,0.39,1.19,1.58,2,28.02,Cal,3.81,0,2,8.87,8.36,6.82,41,156.7
2022-05-24 10:40:00,0.19,423.1,0,0,0,0.35,0.5,1.82,2.32,2.01,27.1,Cal,4.4,0,2.01,8.86,8.4,10.83,42,146.3
2022-05-24 10:45:00,0.19,423.8,0,0,0,0.37,0.61,2.18,2.79,2.01,27.22,Cal,5.29,0,2.01,8.65,8.26,9.21,42,152.5
2022-05-24 10:50:00,0.19,423.7,0.01,0,0,0.35,0.68,2.59,3.27,2.02,27.15,Cal,6.17,0,2.02,8.78,8.36,6.2,41,166.3
2022-05-24 10:55:00,0.19,423.5,0.02,0,0,0.37,0.82,2.84,3.66,2.02,26.95,Cal,Cal,0,2.02,8.82,8.49,9.25,41,150.2
2022-05-24 11:00:00,0.14,423.6,0,0.01,0.01,0.35,0.99,2.97,3.95,2.02,26.5,Cal,Cal,0,2.02,9.03,8.57,13.09,41,142.7
2022-05-24 11:05:00,0.16,423.5,0.03,0.03,0.03,0.35,1.05,3.17,4.22,2.02,26.9,Cal,Cal,0.008,2.02,8.99,8.5,10.54,41,139.9
