Wood Buffalo Environmental Association - Continuous Ambient Air Quality Monitoring Program
For authorized use only
AMS02, L1, 5Mn
Exported On:,2022/08/24,10:45
Date Range:,2010/8/23,0:00,to,2022/8/23,23:00

Date/Time, SO2 (ppb), H2S (ppb), THC (ppm), NMHC (ppm), CH4 (ppm), Temp @ 2m (deg. C), RH (%), Wind Speed @ 10m (km/h), Wind Dir. @ 10m (deg.)
2022-05-24 10:20:00,n/d,n/d,n/d,n/d,1.94,n/d,n/d,n/d,n/d
2022-05-24 10:25:00,n/d,n/d,n/d,n/d,1.93,n/d,n/d,n/d,n/d
2022-05-24 10:30:00,n/d,n/d,n/d,n/d,1.91,n/d,n/d,n/d,n/d
2022-05-24 10:35:00,4.17,0.13,1.9,0,1.9,8.17,44,10.36,126
2022-05-24 10:40:00,6.21,0.37,1.9,0,1.9,8.13,45,7.97,131.3
2022-05-24 10:45:00,0.88,0.09,1.93,0,1.93,8.16,46,11.1,149.5
2022-05-24 10:50:00,0,0,1.94,0,1.94,8.27,47,11.19,155.3
2022-05-24 10:55:00,0.06,0.18,1.92,0,1.92,8.34,48,13.23,158.2
2022-05-24 11:00:00,0,0.33,1.91,0,1.91,8.17,50,14.88,159
2022-05-24 11:05:00,0.92,0.03,1.88,0,1.88,7.8,54,8.79,109.6
2022-05-24 11:10:00,6.5,0.58,1.87,0,1.87,7.75,53,9.91,127
2022-05-24 11:15:00,5.28,0.27,1.87,0,1.87,7.83,53,12.14,107.8
2022-05-24 11:20:00,7.43,0.38,1.87,0,1.87,7.53,53,8.65,108.4
2022-05-24 11:25:00,3.59,0.29,1.87,0,1.87,7.68,54,13.17,113.5
2022-05-24 11:30:00,6.6,0.09,1.87,0,1.87,7.39,56,14.39,98.2
2022-05-24 11:35:00,8.64,0.34,1.88,0,1.88,7.49,57,12.34,141.6
2022-05-24 11:40:00,1.55,0.2,1.86,0,1.86,7.31,59,13.77,120.1
2022-05-24 11:45:00,0.53,0,1.85,0,1.85,6.93,62,11.66,101.8
2022-05-24 11:50:00,0.72,0,1.86,0,1.86,6.88,63,13.29,90.9
2022-05-24 11:55:00,6.03,0.22,1.86,0,1.86,6.94,63,10.78,92.7
2022-05-24 12:00:00,0.2,0.25,1.86,0,1.86,7.08,63,14.19,88
2022-05-24 12:05:00,0,0.16,1.85,0,1.85,6.98,61,8.96,88.3
2022-05-24 12:10:00,0,0.17,1.85,0,1.85,7,62,6.3,94.6
2022-05-24 12:15:00,0.72,0,1.86,0,1.86,7.04,64,5.27,118.2
2022-05-24 12:20:00,5.65,0.51,1.87,0,1.87,6.97,64,5,92.5
2022-05-24 12:25:00,0.19,0.3,1.86,0,1.86,6.84,66,8.84,79.89
2022-05-24 12:30:00,0,0.11,1.84,0,1.84,6.75,65,7.15,75.27
2022-05-24 12:35:00,2.14,0,1.85,0,1.85,6.8,66,5.88,88.8
2022-05-24 12:40:00,0.78,0.06,1.85,0,1.85,6.85,68,5.39,49.36
2022-05-24 12:45:00,0.27,0.26,1.84,0,1.84,6.98,68,7.19,69.08
2022-05-24 12:50:00,0,0,1.83,0,1.83,7.03,66,7.07,86.7
2022-05-24 12:55:00,0,0,1.84,0,1.84,7.11,66,4.93,78.02
2022-05-24 13:00:00,0,0.05,1.85,0,1.85,7.18,66,7.87,50.51
2022-05-24 13:05:00,0,0.08,1.84,0,1.84,7.28,66,7.55,45.82
2022-05-24 13:10:00,0,0,1.84,0,1.84,7.32,64,6.77,38.19
2022-05-24 13:15:00,0,0.33,1.84,0,1.84,7.26,64,7.34,30.63
2022-05-24 13:20:00,0,0,1.83,0,1.83,7.31,66,7.09,36.88
2022-05-24 13:25:00,0,0.19,1.82,0,1.82,7.36,65,7.6,44.49
2022-05-24 13:30:00,0,0.1,1.82,0,1.82,7.41,65,9.28,37.74
2022-05-24 13:35:00,0,0,1.82,0,1.82,7.5,65,8.88,41.4
2022-05-24 13:40:00,0,0,1.83,0,1.83,7.52,64,10.41,50.65
2022-05-24 13:45:00,0,0,1.82,0,1.82,7.67,64,8.52,35.82
2022-05-24 13:50:00,0,0.31,1.82,0,1.82,7.79,65,8.37,56.3
2022-05-24 13:55:00,0,0.15,1.82,0,1.82,7.94,63,7.95,66.08
2022-05-24 14:00:00,0,0.11,1.83,0,1.83,8.12,63,8.01,35.62
2022-05-24 14:05:00,0,0.22,1.82,0,1.82,8.33,61,10.43,38.23
2022-05-24 14:10:00,0,0,1.82,0,1.82,8.73,59,10.97,53.92
2022-05-24 14:15:00,0,0,1.83,0,1.83,9.09,56,13.38,59.19
2022-05-24 14:20:00,0,0.23,1.84,0,1.84,9.24,55,13.15,58.01
2022-05-24 14:25:00,0,0,1.84,0,1.84,9.56,54,10.83,55.89
2022-05-24 14:30:00,0,0.08,1.83,0,1.83,9.98,54,10.67,55.69
2022-05-24 14:35:00,0,0,1.82,0,1.82,9.73,53,12.29,87.8
2022-05-24 14:40:00,0,0,1.82,0,1.82,9.85,51,15.05,115.1
2022-05-24 14:45:00,0,0,1.83,0,1.83,9.76,51,16.89,98.6
2022-05-24 14:50:00,0,0,1.83,0,1.83,9.76,51,10.66,112.1
2022-05-24 14:55:00,0,0,1.84,0,1.84,10.29,51,12.98,98.4
2022-05-24 15:00:00,0,0.05,1.83,0,1.83,10.45,50,16.24,86.9
2022-05-24 15:05:00,0,0,1.84,0,1.84,10.48,50,13.85,89.3
2022-05-24 15:10:00,0,0.11,1.84,0,1.84,10.5,50,15.04,100.1
2022-05-24 15:15:00,0,0,1.83,0,1.83,10.84,49,14.83,102.7
2022-05-24 15:20:00,0.54,0,1.84,0,1.84,11.03,47,14.09,106.8
2022-05-24 15:25:00,1.86,0,1.84,0,1.84,11.02,47,14.22,124.9
2022-05-24 15:30:00,0.58,0.21,1.85,0,1.85,11.63,46,15.91,118.4
2022-05-24 15:35:00,0.03,0,1.84,0,1.84,11.33,46,17.34,127.8
2022-05-24 15:40:00,0.85,0,1.84,0,1.84,11.45,46,15.85,116
2022-05-24 15:45:00,0,0,1.85,0,1.85,11.36,46,13.34,117.6
2022-05-24 15:50:00,1.31,0.06,1.86,0,1.86,11.21,46,15.06,93.7
2022-05-24 15:55:00,0,0,1.86,0,1.86,11.39,47,15.31,121.2
2022-05-24 16:00:00,0,0,1.85,0,1.85,11.7,46,15.09,127.7
2022-05-24 16:05:00,0,0.02,1.86,0,1.86,11.66,46,15.2,113.6
2022-05-24 16:10:00,0,0,1.85,0,1.85,11.6,46,14.62,122.7
2022-05-24 16:15:00,1.24,0,1.83,0,1.83,11.45,47,14.51,107
2022-05-24 16:20:00,2.18,0,1.84,0,1.84,11.61,47,12.34,122.6
