Wood Buffalo Environmental Association - Continuous Ambient Air Quality Monitoring Program
For authorized use only
AMS06, L1, 5Mn
Exported On:,2022/08/24,10:50
Date Range:,2021/8/23,0:00,to,2022/8/23,23:00

Date/Time, SO2 (ppb), TRS (ppb), NO (ppb), NO2 (ppb), NOX (ppb), THC (ppm), O3 (ppb), NH3 (ppb), PM2.5 (ug/m3), NMHC (ppm), CH4 (ppm), Temp @ 2m (deg. C), RH (%), Wind Speed @ 10m (km/h), Wind Dir. @ 10m (deg.)
2022-05-24 10:40:00,0,0.37,0.54,1.02,1.56,1.98,28.82,1.95,2.88,0,1.98,6.62,65,7.84,114.1
2022-05-24 10:45:00,0,0.33,1.75,1.21,2.96,1.98,28.86,2.91,3.11,0,1.98,6.89,64,8.11,90.4
2022-05-24 10:50:00,0,0.32,0.62,0.99,1.62,1.97,29.57,2.55,3.09,0,1.97,6.98,62,8.91,101.9
2022-05-24 10:55:00,0,0.33,0.28,0.62,0.9,1.97,30.81,2.57,2.6,0,1.97,6.96,59,9.39,115.8
2022-05-24 11:00:00,0,0.33,0.6,0.74,1.34,1.97,30.91,3.12,2.44,0,1.97,7.14,61,8.66,101.3
2022-05-24 11:05:00,0,0.3,0.38,1.03,1.41,1.97,30.67,3.54,2.51,0,1.97,7.25,61,8.14,99.4
2022-05-24 11:10:00,0,0.31,1.39,1.96,3.34,1.97,30.28,3.55,2.75,0,1.97,7.21,65,7.73,110.6
2022-05-24 11:15:00,0,0.28,0.62,1.58,2.2,1.97,31.49,3.66,2.75,0,1.97,7.02,65,10.44,117.2
2022-05-24 11:20:00,0,0.31,1.55,1.93,3.48,1.97,33.02,3.76,2.61,0,1.97,6.97,64,11.19,126.4
2022-05-24 11:25:00,0,0.29,0.63,1.24,1.87,1.97,32.39,3.34,2.66,0,1.97,7.05,66,9.18,106.2
2022-05-24 11:30:00,0,0.36,1.05,1.27,2.31,1.97,33.69,2.53,2.94,0,1.97,6.96,66,12.21,133
2022-05-24 11:35:00,0,0.32,0.37,0.7,1.07,1.97,33.99,2.42,3.02,0,1.97,6.55,67,14.94,147.1
2022-05-24 11:40:00,0,0.31,0.31,0.69,1.01,1.97,34.57,2.6,2.87,0,1.97,6.4,69,12.36,130.7
2022-05-24 11:45:00,0,0.37,0.54,0.95,1.48,1.97,34.77,2.74,2.75,0,1.97,6.48,70,15.01,111.7
2022-05-24 11:50:00,0,0.32,0.24,0.52,0.76,1.97,34.96,2.4,2.73,0,1.97,6.48,70,12.55,110.4
2022-05-24 11:55:00,0,0.33,0.34,0.51,0.85,1.97,33.62,2.54,2.75,0,1.97,6.71,71,11.85,108.3
2022-05-24 12:00:00,0,0.35,2.88,3.33,6.2,1.97,33.28,3.27,2.71,0,1.97,6.66,70,13.93,105.1
2022-05-24 12:05:00,0,0.33,1.62,3.61,5.24,1.97,33.71,4.99,2.74,0,1.97,6.56,72,12.49,110.1
2022-05-24 12:10:00,0,0.35,0.34,0.9,1.24,1.97,33.68,4.28,2.72,0,1.97,6.6,73,12.33,106.7
2022-05-24 12:15:00,0,0.34,0.36,0.93,1.29,1.97,34.03,2.5,2.79,0,1.97,6.57,74,10.21,103
2022-05-24 12:20:00,0,0.33,0.52,1.04,1.56,1.97,33.97,2.63,2.79,0,1.97,6.6,73,9.79,109.4
2022-05-24 12:25:00,0,0.37,0.6,1.38,1.99,1.97,32.9,3.02,2.76,0,1.97,6.68,74,8.33,96.6
2022-05-24 12:30:00,0,0.36,0.45,1.11,1.55,1.97,34.44,3.28,2.9,0,1.97,6.93,72,12.03,95.3
