Wood Buffalo Environmental Association - Continuous Ambient Air Quality Monitoring Program
For authorized use only
AMS11, L1, 5Mn
Exported On:,2022/08/24,10:54
Date Range:,2021/8/23,0:00,to,2022/8/23,23:00

Date/Time, SO2 (ppb), H2S (ppb), THC (ppm), CH4 (ppm), NMHC (ppm), Temp @ 2m (deg. C), RH (%), Wind Speed @ 10m (km/h), Wind Dir. @ 10m (deg.)
2022-05-24 10:25:00,0,0,2.05,2.03,0.018,9.59,49,13.96,137.5
2022-05-24 10:30:00,0,0,2.07,2.05,0.02,9.68,49,13.16,138.8
2022-05-24 10:35:00,0,0,2.05,2.03,0.015,9.64,50,16.33,135.9
2022-05-24 10:40:00,3.23,0,2.02,2.02,0,9.2,47,14.11,129
2022-05-24 10:45:00,21.03,0.3,2.04,2.04,0,8.96,49,13.55,134.2
2022-05-24 10:50:00,7.43,0,2.05,2.05,0,9.28,49,12.98,127.4
2022-05-24 10:55:00,4.26,0,2.03,2.03,0,9.04,51,19.72,120.1
2022-05-24 11:00:00,5.01,0,2,2,0,8.24,56,15.39,100.6
2022-05-24 11:05:00,0.42,0,2.02,2.02,0,8,58,14.44,90.5
2022-05-24 11:10:00,5.74,0,2.02,2.02,0,8.38,58,15.75,138
2022-05-24 11:15:00,0,0,2.02,2.02,0.001,8.33,58,7.1,136.3
2022-05-24 11:20:00,3.52,0,2.03,2.02,0.007,8.3,55,7.55,124.7
2022-05-24 11:25:00,2.29,0,2.02,2.02,0,8.54,57,16.95,117
2022-05-24 11:30:00,0,0,2.01,2.01,0,8.25,59,15.87,121.3
2022-05-24 11:35:00,0,0,2.03,2.01,0.01,8.08,59,13.2,120.3
2022-05-24 11:40:00,0,0,2.03,2.03,0.004,8.15,60,14.14,112.1
2022-05-24 11:45:00,0,0,2.01,2.01,0,8.25,62,14.96,133.6
2022-05-24 11:50:00,0,0,2.02,2.01,0.008,7.86,60,8.34,98
2022-05-24 11:55:00,2.27,0,2.04,2.01,0.024,8.01,60,9.03,137.3
2022-05-24 12:00:00,0,0,2.02,2.01,0.007,8.05,60,10.46,72.37
2022-05-24 12:05:00,0,0,2.01,2.01,0,8.09,59,9.19,88.5
2022-05-24 12:10:00,0,0,2.01,2.01,0,8.11,57,9.2,100
2022-05-24 12:15:00,0,0,2.01,2.01,0,8.15,58,9.96,86.9
