Wood Buffalo Environmental Association - Continuous Ambient Air Quality Monitoring Program
For authorized use only
AMS13, L1, 5Mn
Exported On:,2022/08/24,10:55
Date Range:,2021/8/23,0:00,to,2022/8/23,23:00

Date/Time, SO2 (ppb), TRS (ppb), NO (ppb), NO2 (ppb), NOX (ppb), THC (ppm), O3 (ppb), PM2.5 (ug/m3), CH4 (ppm), NMHC (ppm), Temp @ 2m (deg. C), RH (%), Wind Speed @ 10m (km/h), Wind Dir. @ 10m (deg.)
2022-05-24 10:40:00,0.72,0.42,0.8,5.48,6.28,2.05,23.91,6.17,2.05,0,8.75,41,9.32,136.6
2022-05-24 10:45:00,1.66,0.39,0.9,5.44,6.34,2.04,24.82,5.76,2.04,0,8.57,41,11.46,141.7
2022-05-24 10:50:00,3.61,0.45,1,5.37,6.37,2.04,24.75,5.36,2.04,0,8.75,40,12.38,154.6
2022-05-24 10:55:00,5.52,0.45,1.42,6.06,7.48,2.04,23.73,5.09,2.04,0,8.95,40,12.43,164.3
2022-05-24 11:00:00,3.31,0.46,1.18,4.98,6.17,2.04,25.09,5.09,2.04,0,9.05,40,12.25,175.8
2022-05-24 11:05:00,2.89,0.46,1.07,4.5,5.57,2.03,25.53,5,2.03,0,9.19,40,11.94,173.2
2022-05-24 11:10:00,1.01,0.38,0.41,2.35,2.76,2.02,30.4,4.77,2.02,0,9.04,43,11.14,126
2022-05-24 11:15:00,3.07,0.44,0.75,3.04,3.79,2.01,32.87,4.34,2.01,0,8.54,49,14.22,178.5
2022-05-24 11:20:00,2.65,0.44,0.65,3.03,3.68,2.01,31.79,4.28,2.01,0,8.53,49,17.12,181.6
2022-05-24 11:25:00,0.66,0.31,0.08,1.23,1.31,2,34.24,4.27,2,0,8.36,50,18.59,172.5
2022-05-24 11:30:00,0.68,0.38,0.12,1.34,1.46,2,33.33,3.81,2,0,8.52,51,15.77,173.7
2022-05-24 11:35:00,1,0.37,0.18,1.74,1.92,2,33.12,3.54,2,0,8.06,52,17.73,163.3
