Wood Buffalo Environmental Association - Continuous Ambient Air Quality Monitoring Program
For authorized use only
AMS14, L1, 5Mn
Exported On:,2022/08/24,10:56
Date Range:,2021/8/23,0:00,to,2022/8/23,23:00

Date/Time, SO2 (ppb), TRS (ppb), NO (ppb), NO2 (ppb), NOX (ppb), THC (ppm), O3 (ppb), PM2.5 (ug/m3), NMHC (ppm), CH4 (ppm), Temp @ 2m (deg. C), RH (%), Wind Speed @ 20m (km/h), Wind Dir. @ 20m (deg.), LW % of range
2022-05-24 10:45:00,0,0.12,0,0.23,0,1.99,26.34,1.62,0,1.99,7.68,47,15.77,106.1,261.7
2022-05-24 10:50:00,0.16,0.15,0,0.23,0,1.99,26.16,1.75,0,1.99,7.74,47,11.89,110.5,261.5
2022-05-24 10:55:00,0.13,0.05,0,0.28,0.03,1.99,26.04,1.67,0,1.99,7.94,46,16.6,103.5,261.4
2022-05-24 11:00:00,0.27,0.09,0,0.22,0,1.99,26.21,1.58,0,1.99,7.79,46,15.51,105.1,261.4
2022-05-24 11:05:00,0.06,0.15,0,0.18,0,1.99,26.51,1.57,0,1.99,7.76,46,15.65,99,261.5
2022-05-24 11:10:00,0.08,0.06,0,0.22,0,1.99,26.22,1.57,0,1.99,8.07,46,15.82,100.3,261.4
2022-05-24 11:15:00,0.14,0.15,0,0.23,0,1.99,26.39,1.65,0,1.99,8.06,46,14.98,107.2,261.3
2022-05-24 11:20:00,0.01,0.13,0,0.25,0,1.99,26.14,1.66,0,1.99,8.14,47,14.22,91.2,261.5
2022-05-24 11:25:00,0.11,0.13,0,0.21,0,1.99,26,1.61,0,1.99,8.23,47,15.99,90.1,261.4
2022-05-24 11:30:00,0,0.07,0,0.17,0,1.99,26.09,1.61,0,1.99,8.52,46,16.79,100.1,261.2
2022-05-24 11:35:00,0.22,0.06,0,0.19,0,1.99,25.79,1.72,0,1.99,8.59,46,16.1,101.2,261.3
2022-05-24 11:40:00,0.32,0.08,0,0.23,0,1.99,25.89,1.76,0,1.99,8.75,46,17.14,104.5,261.3
2022-05-24 11:45:00,0.06,0.07,0,0.23,0,1.99,25.61,1.65,0,1.99,8.75,46,14.73,88.8,261.3
2022-05-24 11:50:00,0.18,0.09,0,0.21,0,1.99,25.33,1.57,0,1.99,8.88,46,14.2,96.9,261.3
2022-05-24 11:55:00,0.25,0.07,0,0.3,0.11,2,25.45,1.62,0,2,9.1,45,16.99,122.3,261.2
2022-05-24 12:00:00,0.23,0.12,0,0.52,0.37,1.99,27.41,1.65,0,1.99,8.94,46,18.55,143.4,261.6
2022-05-24 12:05:00,0,0.05,0,0.41,0.27,1.99,29.61,1.71,0,1.99,8.6,49,19.12,154.5,262.4
