Wood Buffalo Environmental Association - Continuous Ambient Air Quality Monitoring Program
For authorized use only
AMS18, L1, 5Mn
Exported On:,2022/08/24,11:04
Date Range:,2022/5/23,0:00,to,2022/8/23,23:00

Date/Time, SO2 (ppb), NO (ppb), NO2 (ppb), NOx (ppb), PM2.5 (ug/m3), O3 (ppb), THC (ppm), CH4 (ppm), NMHC (ppm), TRS (ppb), CO (ppm), CO2 (ppm), Wind Speed @ 10m (km/h), Wind Direction @ 10m (deg.), Relative Humidity (%), Temp @ 2m (deg. C), PC (mm), GR W/m2, LW % of range, Wind Speed @ 20m (km/h), Wind Direction @ 20m (deg.)
2022-05-24 10:45:00,1.18,0.43,1.43,1.86,2.18,18.3,2.04,2.04,0,0.22,Cal,439.9,n/d,n/d,94,4.08,0,216.4,281.6,11.49,54.21
2022-05-24 10:50:00,0.13,0.15,0.71,0.86,2.28,18.55,2.04,2.04,0,0.14,Cal,436,n/d,n/d,94,4.37,0,270.1,281.1,10.81,52.28
2022-05-24 10:55:00,0.01,0.15,0.61,0.77,2.33,19.08,2.04,2.04,0,0.24,Cal,434.4,n/d,n/d,93,4.64,0,354.3,280.2,10.55,54.09
2022-05-24 11:00:00,0.1,0.11,0.57,0.68,2.41,19.06,2.04,2.04,0,0.27,Cal,433.9,n/d,n/d,92,4.77,0,321.3,279.9,11.04,53.77
2022-05-24 11:05:00,0.14,0.07,0.43,0.5,2.36,19.93,2.03,2.03,0,0.25,Cal,433.9,n/d,n/d,90,4.91,0,353.9,279.6,12.83,52.85
2022-05-24 11:10:00,-0.02,0.05,0.42,0.46,2.3,20.35,2.03,2.03,0,0.23,Cal,433.5,n/d,n/d,89,4.97,0,381.1,279.3,11.93,57.42
2022-05-24 11:15:00,0.16,0.03,0.36,0.39,2.22,20.22,2.03,2.03,0,0.27,Cal,433.3,n/d,n/d,89,5.34,0,314.7,279.4,11.8,72.61
2022-05-24 11:20:00,-0.08,0.05,0.44,0.49,2.23,20,2.03,2.03,0,0.22,Cal,433.3,n/d,n/d,89,5.53,0,291.2,279.3,13.89,61.22
2022-05-24 11:25:00,0,0.04,0.47,0.51,2.26,20.6,2.03,2.03,0,0.18,Cal,433.4,n/d,n/d,88,5.58,0,308.8,279.1,11.25,60.13
2022-05-24 11:30:00,0.01,0.06,0.4,0.46,2.18,20.32,2.04,2.04,0,0.24,Cal,433.3,n/d,n/d,88,5.63,0,339.9,278.7,11.14,46.34
2022-05-24 11:35:00,0.11,0,0.34,0.34,2.09,19.96,2.03,2.03,0,0.2,Cal,432.5,n/d,n/d,87,5.68,0,335.9,278.2,11.85,55.84
2022-05-24 11:40:00,0.12,-0.02,0.3,0.29,2.07,20.81,2.03,2.03,0,0.2,Cal,432.8,n/d,n/d,87,5.77,0,318.4,277.9,12.33,71.69
2022-05-24 11:45:00,0.07,0.01,0.38,0.39,2.12,21.1,2.03,2.03,0,0.23,Cal,433.4,n/d,n/d,85,5.86,0,278.7,277.8,13.85,73.31
2022-05-24 11:50:00,0.15,0.07,0.5,0.57,2.17,21.04,2.03,2.03,0,0.17,Cal,433.7,n/d,n/d,86,5.87,0,301.8,277.7,12.15,78.29
2022-05-24 11:55:00,0.11,0.15,0.54,0.69,Cal,20.89,2.03,2.03,0,0.25,Cal,433.7,n/d,n/d,86,6.19,0,360.1,276.7,11.69,83.6
2022-05-24 12:00:00,0.15,0.12,0.56,0.69,Cal,20.69,2.03,2.03,0,0.18,Cal,433.6,n/d,n/d,85,6.31,0,393.9,275.9,10.66,86.9
2022-05-24 12:05:00,0.06,0.12,0.6,0.72,Cal,20.71,2.03,2.03,0,0.18,Cal,433.7,n/d,n/d,86,6.57,0,338.4,275.4,10.88,76.94
2022-05-24 12:10:00,0.16,0.09,0.52,0.62,Cal,21.01,2.03,2.03,0,0.17,Cal,432.8,n/d,n/d,84,6.53,0,325.3,275.2,13.24,69.2
2022-05-24 12:15:00,0.27,0.11,0.44,0.54,Cal,20.74,2.02,2.02,0,0.21,Cal,432.9,n/d,n/d,85,6.34,0,282.9,274.8,14.29,73.72
2022-05-24 12:20:00,0.08,0.05,0.42,0.47,Cal,21.08,2.02,2.02,0,0.24,Cal,433,n/d,n/d,85,6.27,0,248.3,274.8,14.09,70
2022-05-24 12:25:00,0.1,0,0.41,0.41,2.12,20.82,2.03,2.03,0,0.23,Cal,432.8,n/d,n/d,86,6.2,0,250,274,13.43,77.71
2022-05-24 12:30:00,0.19,0,0.39,0.4,2.06,20.49,2.03,2.03,0,0.22,Cal,432.4,n/d,n/d,87,6.19,0,235.8,273.9,12.57,65.53
2022-05-24 12:35:00,-0.02,0.05,0.39,0.44,2.09,20.33,2.02,2.02,0,0.18,Cal,432.7,n/d,n/d,86,6.42,0,231.4,273.6,12.55,72.67
2022-05-24 12:40:00,0.11,0.05,0.43,0.48,2.21,20.67,2.02,2.02,0,0.27,Cal,432.6,n/d,n/d,86,6.29,0,241.1,273.2,13.07,58.51
2022-05-24 12:45:00,0.2,0.04,0.39,0.43,2.29,20.46,2.03,2.03,0,0.26,Cal,431.9,n/d,n/d,87,6.47,0,348.3,275.3,13.85,64.13
2022-05-24 12:50:00,0.05,0.07,0.43,0.5,2.26,20.05,2.02,2.02,0,0.21,Cal,432,n/d,n/d,86,6.85,0,432.1,276.3,10.97,63.99
2022-05-24 12:55:00,0.17,0.11,0.42,0.53,2.2,20.36,2.03,2.03,0,0.24,Cal,432.2,n/d,n/d,86,7.13,0,607.3,271.3,11.64,65.44
2022-05-24 13:00:00,0.06,0.08,0.47,0.55,2.18,20.23,2.03,2.03,0,0.18,Cal,431.5,n/d,n/d,84,7.7,0,489.1,271.5,13.4,55.28
2022-05-24 13:05:00,0.04,0.09,0.37,0.46,2.23,20.6,2.02,2.02,0,0.24,Cal,431.7,n/d,n/d,84,7.56,0,722.2,270.7,14.08,68.29
2022-05-24 13:10:00,0.12,0.11,0.39,0.5,2.24,20.82,2.02,2.02,0,0.22,Cal,431.5,n/d,n/d,81,8.01,0,732.3,269.4,15.42,54.06
2022-05-24 13:15:00,0.11,0.11,0.44,0.55,2.21,20.92,2.03,2.03,0,0.25,Cal,431.3,n/d,n/d,82,8.24,0,711,269.3,14.42,69.88
