Wood Buffalo Environmental Association - Continuous Ambient Air Quality Monitoring Program
For authorized use only
AMS19, L1, 5Mn
Exported On:,2022/08/24,11:04
Date Range:,2022/5/23,0:00,to,2022/8/23,23:00

Date/Time, SO2 (ppb), H2S (ppb), THC (ppm), NO (ppb), NO2 (ppb), NOx (ppb), Wind Speed @ 10m (km/h), Wind Direction @ 10m (deg.), Relative Humidity (%), Temp @ 2m (deg. C)
2022-05-24 10:45:00,-0.1,-0.13,2.36,-0.11,0.43,0.32,13.7,156.3,42,6.49
2022-05-24 10:50:00,0.01,-0.06,2.35,-0.2,0.22,0.02,8.87,162.1,43,6.45
2022-05-24 10:55:00,-0.07,-0.16,2.33,-0.14,0.27,0.13,10.98,163.8,43,6.64
2022-05-24 11:00:00,0,0,2.35,-0.19,0.13,-0.06,12.37,186.4,42,6.66
2022-05-24 11:05:00,0.14,-0.13,2.35,-0.22,0.19,-0.03,13.24,159.7,42,6.92
2022-05-24 11:10:00,-0.12,0.02,2.35,-0.19,0.19,-0.01,10.32,148.7,42,6.77
2022-05-24 11:15:00,0.12,-0.12,2.35,-0.19,0.35,0.16,10.48,167.2,42,6.87
2022-05-24 11:20:00,0.15,-0.02,2.36,-0.17,0.18,0.01,13.88,186.6,42,6.9
2022-05-24 11:25:00,0.19,0.1,2.32,-0.18,0.1,-0.08,13.64,186.9,42,6.76
2022-05-24 11:30:00,0.07,-0.11,2.36,-0.13,0.51,0.38,12.53,175.7,42,6.79
2022-05-24 11:35:00,0.02,0.25,2.35,0.04,0.79,0.83,13.25,143.2,42,7.13
2022-05-24 11:40:00,-0.3,0.15,2.37,-0.01,0.47,0.46,12.77,149.8,42,7.09
2022-05-24 11:45:00,-0.12,0.1,2.36,0,0.38,0.38,17.18,175.5,42,6.97
2022-05-24 11:50:00,-0.01,0.16,2.38,-0.12,0.36,0.25,12.29,184.8,42,6.91
2022-05-24 11:55:00,-0.13,-0.05,2.38,0.03,0.58,0.61,15.56,181.5,42,7.08
2022-05-24 12:00:00,-0.11,0.03,2.37,0,0.7,0.71,14.14,171.4,42,7
2022-05-24 12:05:00,-0.05,0.09,2.36,-0.15,0.23,0.08,9.87,155.9,42,7.05
2022-05-24 12:10:00,0.09,0.08,2.35,0.02,0.67,0.68,11.23,175.3,42,7.16
2022-05-24 12:15:00,-0.09,0.15,2.35,-0.1,0.35,0.25,11.89,180.9,41,7.14
2022-05-24 12:20:00,-0.05,0.08,2.34,-0.12,0.3,0.19,16.56,160.2,41,7.35
2022-05-24 12:25:00,0.04,0.15,2.32,-0.14,0.34,0.2,10.52,137,41,7.3
2022-05-24 12:30:00,-0.12,0.05,2.34,-0.2,0.18,-0.02,13.41,181.3,43,7.33
2022-05-24 12:35:00,-0.14,0.22,2.37,-0.09,0.3,0.21,9.39,156.8,43,7.5
2022-05-24 12:40:00,0.04,-0.01,2.3,-0.06,0.45,0.39,15.8,144.2,42,7.62
2022-05-24 12:45:00,-0.1,-0.09,2.31,-0.24,0.21,-0.03,10.14,170.6,44,7.24
2022-05-24 12:50:00,-0.05,0.1,2.36,-0.16,0.12,-0.04,13.87,195,45,7.23
2022-05-24 12:55:00,-0.22,-0.06,2.35,-0.2,0.14,-0.06,15.83,200.4,49,7.17
2022-05-24 13:00:00,-0.11,-0.05,2.35,-0.2,0.13,-0.06,14.99,219.6,48,7.52
2022-05-24 13:05:00,-0.02,0.17,2.35,-0.2,0.19,-0.01,18.84,178.1,49,7.34
2022-05-24 13:10:00,-0.05,0.14,2.33,-0.19,0.26,0.07,19.51,185.7,51,6.94
2022-05-24 13:15:00,0.02,0.08,2.33,-0.19,0.25,0.05,15.04,174.6,52,7.07
2022-05-24 13:20:00,-0.12,-0.04,2.34,-0.17,0.23,0.05,14.37,166.6,51,7.16
2022-05-24 13:25:00,-0.13,0.15,2.34,-0.14,0.37,0.23,15.01,167.6,52,7.23
