Wood Buffalo Environmental Association - Continuous Ambient Air Quality Monitoring Program
For authorized use only
AMS20, L1, 5Mn
Exported On:,2022/08/24,11:04
Date Range:,2022/5/23,0:00,to,2022/8/23,23:00

Date/Time, SO2 (ppb), H2S (ppb), THC (ppm), NO (ppb), NO2 (ppb), NOx (ppb), Wind Speed @ 10m (km/h), Wind Direction @ 10m (deg.), Relative Humitidy (%), Temp (deg. C), Precip (mm)
2022-05-24 10:45:00,-0.17,-0.19,2.24,-0.08,0.65,0.57,10.42,111.6,84,3.6,n/d
2022-05-24 10:50:00,0.07,-0.19,2.23,-0.12,0.59,0.48,9.12,105.8,85,3.63,0
2022-05-24 10:55:00,-0.03,-0.11,2.22,-0.12,0.52,0.4,9.19,103.7,86,3.64,0
2022-05-24 11:00:00,0.05,-0.17,2.24,-0.14,0.39,0.26,8.46,108.8,86,3.75,0
2022-05-24 11:05:00,-0.1,-0.18,2.24,-0.15,0.38,0.23,11.5,99.8,85,3.8,0
2022-05-24 11:10:00,-0.09,-0.2,2.26,-0.15,0.38,0.23,8.38,79.25,85,3.88,0
2022-05-24 11:15:00,-0.23,-0.2,2.26,-0.17,0.37,0.2,7.61,91.8,85,3.96,0
2022-05-24 11:20:00,-0.12,-0.05,2.25,-0.15,0.32,0.18,7.62,102.9,84,4.12,0
2022-05-24 11:25:00,0.04,-0.02,2.26,-0.17,0.35,0.18,8.94,90.3,83,4.27,0
2022-05-24 11:30:00,0.06,-0.07,2.26,-0.16,0.33,0.17,7.72,93.7,83,4.41,0
2022-05-24 11:35:00,-0.05,0.01,2.26,-0.15,0.31,0.16,7.5,109.7,82,4.5,0
2022-05-24 11:40:00,0,-0.12,2.24,-0.15,0.32,0.17,7.01,86.6,81,4.55,0
2022-05-24 11:45:00,0.02,-0.13,2.22,-0.17,0.36,0.19,8.46,93.3,81,4.65,0
2022-05-24 11:50:00,-0.01,-0.03,2.24,-0.15,0.32,0.17,8.45,89.4,82,4.7,0.12
2022-05-24 11:55:00,0.2,-0.05,2.25,-0.15,0.31,0.16,7.89,91,82,4.81,0
2022-05-24 12:00:00,-0.04,-0.01,2.29,-0.15,0.32,0.17,9.76,75.92,81,4.96,0
2022-05-24 12:05:00,0.08,-0.09,2.28,-0.15,0.33,0.18,11.08,86.1,81,5.1,0
2022-05-24 12:10:00,0.11,-0.06,2.24,-0.13,0.36,0.23,9.26,94.6,80,5.12,0
2022-05-24 12:15:00,0.03,-0.09,2.21,-0.15,0.39,0.24,7.25,86.7,80,5.35,0
2022-05-24 12:20:00,-0.02,-0.11,2.21,-0.14,0.42,0.27,7.12,93.2,80,5.65,0
2022-05-24 12:25:00,-0.07,-0.13,2.24,-0.16,0.42,0.26,10.47,104.7,78,5.8,0
2022-05-24 12:30:00,0.38,-0.09,2.23,-0.13,0.39,0.26,10.6,99.8,76,5.91,0
2022-05-24 12:35:00,0.06,-0.07,2.23,-0.14,0.4,0.26,12.12,98.2,73,6.08,0
2022-05-24 12:40:00,-0.06,-0.13,2.23,-0.11,0.39,0.27,15.04,107.2,71,6.04,0
2022-05-24 12:45:00,0.25,-0.12,2.22,-0.11,0.37,0.26,12.61,104.5,70,6.34,0
2022-05-24 12:50:00,-0.02,-0.09,2.22,-0.13,0.38,0.25,11.15,111.1,69,6.83,0
2022-05-24 12:55:00,0.04,-0.15,2.24,-0.1,0.33,0.23,12.48,95.7,68,7.41,0
2022-05-24 13:00:00,0.04,-0.19,2.23,-0.1,0.34,0.24,14.58,103,66,7.09,0
2022-05-24 13:05:00,-0.05,-0.15,2.22,-0.1,0.31,0.2,13.83,103.6,64,7.11,0
2022-05-24 13:10:00,0.02,-0.12,2.22,-0.09,0.33,0.24,11.17,100.9,64,7.3,0
2022-05-24 13:15:00,0.03,-0.12,2.22,-0.12,0.35,0.23,14.17,99.7,64,7.13,0
2022-05-24 13:20:00,0.15,-0.08,2.24,-0.13,0.37,0.23,13.65,110.5,64,7.06,0
2022-05-24 13:25:00,0.16,-0.09,2.23,-0.14,0.34,0.2,14.29,106.3,62,7.03,0
2022-05-24 13:30:00,-0.1,-0.06,2.23,-0.15,0.33,0.18,11.91,100.4,63,7.19,0
2022-05-24 13:35:00,0.09,-0.08,2.24,-0.1,0.28,0.18,10.93,93.2,62,7.66,0
2022-05-24 13:40:00,0.11,-0.12,2.24,-0.12,0.33,0.2,12.13,94.4,61,8.13,0
2022-05-24 13:45:00,-0.01,-0.13,2.23,-0.09,0.3,0.21,14.45,100.6,59,8.27,0
2022-05-24 13:50:00,-0.07,-0.16,2.27,-0.1,0.29,0.19,13.61,115.4,59,8.24,0
2022-05-24 13:55:00,0.12,0,2.23,-0.12,0.36,0.24,13.27,104.3,59,8.09,0
2022-05-24 14:00:00,0.07,-0.04,2.21,-0.11,0.34,0.23,12.81,99.6,58,8.44,0
2022-05-24 14:05:00,0.11,-0.12,2.24,-0.13,0.37,0.24,13.06,101.6,58,8.23,0
2022-05-24 14:10:00,0.18,-0.01,2.24,-0.12,0.36,0.24,10.54,103.8,58,8.29,0
2022-05-24 14:15:00,0.13,-0.1,2.23,-0.13,0.37,0.24,14.57,96.8,57,8.41,0
2022-05-24 14:20:00,-0.14,-0.15,2.22,-0.12,0.35,0.22,14.59,110.5,57,8.24,0
2022-05-24 14:25:00,-0.03,-0.13,2.22,-0.11,0.37,0.26,13.42,108.2,56,8.26,0
2022-05-24 14:30:00,-0.12,-0.03,2.21,-0.11,0.39,0.28,14.1,105.3,57,8.3,0
2022-05-24 14:35:00,0,0.01,2.2,-0.13,0.39,0.25,9.2,95.9,57,8.47,0
2022-05-24 14:40:00,-0.02,-0.13,2.19,-0.11,0.36,0.25,8.49,93.4,56,9.05,0
2022-05-24 14:45:00,0.16,-0.04,2.2,-0.11,0.38,0.26,10.6,94.4,56,8.88,0
2022-05-24 14:50:00,0.07,-0.11,2.19,-0.14,0.38,0.24,13.62,97.7,55,8.78,0
2022-05-24 14:55:00,0.09,-0.15,2.19,-0.1,0.36,0.26,12.97,103.9,55,9.06,0
2022-05-24 15:00:00,0.03,-0.05,2.19,-0.11,0.36,0.25,13.19,115.6,54,9.63,0
2022-05-24 15:05:00,0.09,-0.09,2.19,-0.13,0.4,0.27,11.49,88.5,54,9.66,0
2022-05-24 15:10:00,0.01,-0.15,2.19,-0.11,0.4,0.29,13.47,103.8,54,9.48,0
