Wood Buffalo Environmental Association - Continuous Ambient Air Quality Monitoring Program
For authorized use only
AMS21, L1, 5Mn
Exported On:,2022/08/24,11:05
Date Range:,2022/5/23,0:00,to,2022/8/23,23:00

Date/Time, SO2 (ppb), TRS (ppb), NO2 (ppb), NOx (ppb), NO (ppb), O3 (ppb), NMHC (ppm), CH4 (ppm), THC (ppm), PM2.5 (ug/m3), Wind Speed @ 10m (km/h), Wind Direction @ 10m (deg.), Relative Humidity (%), Temp (deg. C)
2022-05-24 10:35:00,0.74,0.23,Cal,Cal,Cal,19.21,0.003,2.02,2.03,2.24,6.54,42.81,92,4.81
2022-05-24 10:40:00,0.65,0.26,Cal,Cal,Cal,19.17,0.007,2.02,2.03,2.24,6.42,16.57,93,4.94
2022-05-24 10:45:00,0.6,0.24,Cal,Cal,Cal,19.18,0.007,2.02,2.03,2.21,8.7,31.08,92,5.07
2022-05-24 10:50:00,0.43,0.28,Cal,Cal,Cal,19.41,0.005,2.02,2.03,2.19,8.95,41.42,92,5.02
2022-05-24 10:55:00,0.58,0.31,Cal,Cal,Cal,20.4,0.005,2.02,2.03,2.17,8.34,55.7,90,5.04
2022-05-24 11:00:00,0.5,0.24,Cal,Cal,Cal,20.31,0.007,2.02,2.03,2.15,6.81,61,91,5.38
2022-05-24 11:05:00,0.62,0.27,Cal,Cal,Cal,19.21,0.01,2.02,2.03,2.14,7.71,61.01,90,5.57
2022-05-24 11:10:00,0.65,0.27,Cal,Cal,Cal,20.6,0.003,2.02,2.02,2.23,7.98,59.77,88,5.54
2022-05-24 11:15:00,0.59,0.33,Cal,Cal,Cal,20.62,0.006,2.02,2.03,2.35,7.73,58.04,90,5.72
2022-05-24 11:20:00,0.68,0.22,226.1,425.4,199.3,21.25,0.008,2.02,2.03,2.29,7.05,99.4,86,6.15
2022-05-24 11:25:00,0.57,0.27,Cal,Cal,Cal,21.41,0.01,2.02,2.03,2.21,6.25,71.07,87,6.22
2022-05-24 11:30:00,0.8,0.25,Cal,Cal,Cal,21.73,0.005,2.02,2.02,2.23,8.08,76.1,86,6.08
2022-05-24 11:35:00,0.63,0.18,Cal,Cal,Cal,22.01,0.006,2.02,2.03,2.19,9.26,56.09,85,6.2
2022-05-24 11:40:00,0.91,0.27,Cal,Cal,Cal,21.85,0.004,2.02,2.02,2.18,7.53,83.3,86,6.35
2022-05-24 11:45:00,0.66,0.27,Cal,Cal,Cal,22.21,0.008,2.02,2.03,2.27,8.18,75.74,85,6.51
2022-05-24 11:50:00,0.5,0.27,0.43,0.73,0.31,22.74,0.002,2.02,2.02,2.29,9.26,64.08,84,6.28
2022-05-24 11:55:00,0.62,0.27,0.45,0.66,0.21,22.99,0.003,2.02,2.02,2.18,8.94,80.6,83,6.36
2022-05-24 12:00:00,0.65,0.26,0.3,0.52,0.22,22.87,0.004,2.02,2.02,2.11,7.73,88.5,84,6.38
2022-05-24 12:05:00,0.5,0.27,0.26,0.49,0.23,22.51,0.003,2.02,2.02,2.12,7.69,59.02,84,6.55
2022-05-24 12:10:00,0.4,0.24,0.32,0.55,0.23,22.08,0.006,2.02,2.03,2.11,5.39,54.73,85,6.81
2022-05-24 12:15:00,0.67,0.26,0.35,0.57,0.23,21.87,0.004,2.02,2.03,2.18,7.79,56.95,84,7.19
2022-05-24 12:20:00,0.55,0.31,0.24,0.54,0.3,22.3,0.004,2.02,2.02,2.29,7.45,57.19,83,6.89
2022-05-24 12:25:00,0.63,0.29,0.35,0.53,0.18,22.23,0.005,2.02,2.03,2.3,8.52,62.34,84,6.86
2022-05-24 12:30:00,0.6,0.3,0.31,0.47,0.16,22.27,0.003,2.02,2.02,2.21,8.45,54.53,85,6.83
2022-05-24 12:35:00,0.54,0.26,0.2,0.44,0.24,22.1,0.003,2.02,2.02,2.19,8.56,48.65,85,6.76
2022-05-24 12:40:00,0.53,0.31,0.2,0.41,0.21,22.41,0.003,2.02,2.02,2.2,9.83,50.26,85,6.7
2022-05-24 12:45:00,0.53,0.27,0.22,0.4,0.18,22.36,0.005,2.02,2.02,2.16,8,63.15,85,6.75
2022-05-24 12:50:00,0.6,0.26,0.26,0.44,0.18,21.94,0.004,2.02,2.03,2.18,7.01,52.34,85,7.04
2022-05-24 12:55:00,0.5,0.24,0.15,0.4,0.25,21.74,0.007,2.02,2.03,2.23,8.1,49.06,84,7.46
2022-05-24 13:00:00,0.76,0.28,0.22,0.44,0.22,21.62,0.001,2.02,2.02,2.22,8.22,54.07,84,7.43
2022-05-24 13:05:00,0.64,0.29,0.25,0.48,0.23,21.73,0.004,2.02,2.03,2.17,9.37,58.88,84,7.51
2022-05-24 13:10:00,0.33,0.26,0.3,0.55,0.25,21.53,0.007,2.02,2.03,2.21,7.06,50.21,84,7.82
2022-05-24 13:15:00,0.63,0.25,0.28,0.51,0.23,21.63,0.008,2.02,2.03,2.28,8.64,44.18,82,8.33
2022-05-24 13:20:00,0.59,0.28,0.31,0.64,0.33,21.64,0.003,2.02,2.02,2.32,7.62,38.12,80,8.66
2022-05-24 13:25:00,0.56,0.27,0.39,0.69,0.3,21.54,0.005,2.02,2.03,2.32,5.74,107.7,79,9.02
2022-05-24 13:30:00,0.59,0.28,0.34,0.61,0.28,21.84,0.008,2.02,2.03,2.41,7.03,108.2,75,9.42
2022-05-24 13:35:00,0.63,0.26,0.4,0.61,0.21,21.26,0.004,2.02,2.03,2.46,6.77,119.2,75,9.54
2022-05-24 13:40:00,0.77,0.25,0.26,0.48,0.22,21.78,0.003,2.03,2.03,2.39,7.58,114.5,71,9.41
2022-05-24 13:45:00,1.01,0.27,0.38,0.67,0.28,22.08,0.002,2.03,2.03,2.26,9.83,110.9,69,9.53
2022-05-24 13:50:00,0.74,0.28,0.39,0.62,0.23,21.87,0.006,2.03,2.03,2.31,7.19,91.5,69,9.9
2022-05-24 13:55:00,0.35,0.26,0.14,0.37,0.23,21.84,0.003,2.03,2.03,2.51,9.9,99.2,66,10.26
2022-05-24 14:00:00,0.83,0.22,0.17,0.56,0.39,21.62,0.005,2.03,2.03,2.56,10.79,113.4,66,10.37
2022-05-24 14:05:00,1.32,0.28,0.56,1.06,0.5,21.62,0.004,2.03,2.03,2.37,13.35,116.6,63,10.96
2022-05-24 14:10:00,1.34,0.26,0.49,1,0.51,21.49,0.006,2.03,2.04,2.26,12.02,111.5,62,11.06
