Wood Buffalo Environmental Association - Continuous Ambient Air Quality Monitoring Program
For authorized use only
AMS25, L1, 5Mn
Exported On:,2022/08/24,11:06
Date Range:,2022/5/23,0:00,to,2022/8/23,23:00

Date/Time, SO2 (ppb), H2S (ppb), Temperature (deg. C), Relative Humidity (%), Wind Speed @ 10m (km/h), Wind Dir @ 10m (deg)
2022-05-24 10:50:00,-0.05,0.06,8.72,42,7.89,148.6
2022-05-24 10:55:00,-0.05,0.08,9.01,42,6.81,132.7
2022-05-24 11:00:00,-0.04,0.08,9.37,42,5.18,110.7
2022-05-24 11:05:00,0.09,0.08,9.58,40,6.21,175.9
2022-05-24 11:10:00,0.03,0.09,8.84,44,8.15,181.3
2022-05-24 11:15:00,0.27,0.04,8.75,44,6.72,148.6
2022-05-24 11:20:00,-0.06,0.05,9.02,44,6.98,146.1
2022-05-24 11:25:00,-0.02,0.05,8.98,45,9.67,155.2
2022-05-24 11:30:00,-0.16,0.03,9.33,46,8.37,140
2022-05-24 11:35:00,0.01,0.08,8.68,47,10.05,161
2022-05-24 11:40:00,0.1,0.05,8.87,49,7.86,150.8
2022-05-24 11:45:00,0.56,0.05,8.74,51,7.39,137.7
2022-05-24 11:50:00,0.11,0.05,8.63,51,9.34,142.9
2022-05-24 11:55:00,0.51,0.05,8.21,52,9.41,163.6
2022-05-24 12:00:00,1.09,0.05,8.21,53,8.78,162.2
2022-05-24 12:05:00,1.3,0.07,7.95,54,6.94,142.1
2022-05-24 12:10:00,1.17,0.06,7.84,55,8.74,140.5
2022-05-24 12:15:00,0.67,0.05,7.58,57,7.28,152.1
2022-05-24 12:20:00,1.27,0.06,7.6,59,7.53,176.2
2022-05-24 12:25:00,0.73,0.12,7.37,63,7.55,158.8
2022-05-24 12:30:00,0.18,0.08,7.31,68,7.87,128.3
2022-05-24 12:35:00,-0.02,0.09,6.9,73,4.32,91
2022-05-24 12:40:00,0.08,0.03,6.76,77,4.56,89.5
2022-05-24 12:45:00,-0.03,0.05,6.66,75,4.81,91.8
2022-05-24 12:50:00,-0.25,0.03,6.7,76,3.95,76.93
2022-05-24 12:55:00,0.09,-0.02,6.72,75,3.23,85.6
2022-05-24 13:00:00,-0.16,-0.02,6.98,75,2.01,66.93
2022-05-24 13:05:00,0.17,0.06,7.06,77,2.63,88.7
2022-05-24 13:10:00,-0.13,-0.01,7.1,75,2.72,95
2022-05-24 13:15:00,-0.06,-0.01,7.06,74,4.56,127.1
2022-05-24 13:20:00,0.08,0.06,7.02,75,4.42,130
2022-05-24 13:25:00,-0.15,0.04,6.99,77,3.19,118
2022-05-24 13:30:00,0.13,0.04,6.93,75,2.98,105.6
2022-05-24 13:35:00,-0.14,0.03,6.94,73,3.94,96.5
2022-05-24 13:40:00,-0.24,-0.01,7.05,75,3.04,55.38
2022-05-24 13:45:00,-0.07,0.01,7.27,75,3,51.86
2022-05-24 13:50:00,-0.05,0.08,7.24,72,3.74,40.02
2022-05-24 13:55:00,-0.12,0.01,7.15,73,4.8,15.06
2022-05-24 14:00:00,-0.01,0.02,7.08,75,3.71,31.34
2022-05-24 14:05:00,-0.07,-0.01,7.24,76,4.56,13.5
2022-05-24 14:10:00,-0.16,0.01,7.33,75,5.32,15.88
2022-05-24 14:15:00,-0.09,0.08,7.42,73,5.22,23.32
2022-05-24 14:20:00,0.01,0.04,7.5,72,5.95,29.19
2022-05-24 14:25:00,0.18,0.01,7.73,73,4.48,45.8
2022-05-24 14:30:00,-0.05,0.02,7.86,70,3.39,52.45
2022-05-24 14:35:00,-0.05,-0.01,8,68,4.58,31.97
2022-05-24 14:40:00,-0.1,-0.02,8.27,68,3.76,50.08
2022-05-24 14:45:00,-0.13,0.02,8.58,67,4.78,43.4
2022-05-24 14:50:00,-0.06,0.06,8.63,66,5.26,45.48
2022-05-24 14:55:00,-0.12,0.04,8.86,66,3.9,47.86
2022-05-24 15:00:00,-0.08,0.02,9.11,65,3.58,74.11
2022-05-24 15:05:00,-0.04,0.01,9.63,63,4.62,65.1
2022-05-24 15:10:00,0.16,0.07,9.91,58,4.83,79.12
2022-05-24 15:15:00,-0.21,0.01,10.07,56,6.23,80.2
2022-05-24 15:20:00,-0.12,0.02,10.24,57,5.01,74.88
2022-05-24 15:25:00,0.03,0.03,10.45,55,6.49,83.2
2022-05-24 15:30:00,-0.02,0.02,10.59,55,6.26,80.6
2022-05-24 15:35:00,-0.15,0.04,10.76,54,6.64,83.9
2022-05-24 15:40:00,0.01,0.07,10.78,53,5.78,89.5
2022-05-24 15:45:00,-0.01,0.06,11.2,53,6.36,82.8
2022-05-24 15:50:00,-0.12,0.01,10.9,52,5.41,72.82
2022-05-24 15:55:00,-0.18,0.02,11.08,53,5.39,86.2
2022-05-24 16:00:00,-0.14,0.04,11.79,52,6.19,80.6
2022-05-24 16:05:00,0.06,0,11.82,49,5.1,76.48
2022-05-24 16:10:00,0.04,0.03,11.8,50,5.29,59.65
2022-05-24 16:15:00,-0.01,-0.06,11.83,50,5.85,90.8
2022-05-24 16:20:00,0.03,0.04,11.89,49,4.41,84.4
2022-05-24 16:25:00,-0.19,-0.04,11.88,49,6.24,72.28
2022-05-24 16:30:00,-0.27,0.08,11.69,49,5,48.41
2022-05-24 16:35:00,-0.01,0.02,11.56,49,4.95,44.19
2022-05-24 16:40:00,0.2,0.02,11.94,51,4.24,53.48
2022-05-24 16:45:00,-0.08,0.02,11.93,51,3.96,73.73
2022-05-24 16:50:00,-0.2,0.05,11.7,49,5.68,42.87
2022-05-24 16:55:00,-0.06,0.03,11.3,51,4.32,42.62
2022-05-24 17:00:00,-0.01,0.01,11.44,51,2.6,64.73
2022-05-24 17:05:00,-0.05,-0.01,11.56,52,3.96,69.95
2022-05-24 17:10:00,-0.07,0.02,11.75,48,5.22,71.15
2022-05-24 17:15:00,-0.08,-0.01,11.86,48,3.06,64.72
2022-05-24 17:20:00,-0.09,0.04,11.98,48,4.43,28.84
2022-05-24 17:25:00,-0.18,0.03,11.57,50,4.95,35.75
2022-05-24 17:30:00,-0.39,0.02,11.73,51,3.87,32.29
2022-05-24 17:35:00,-0.15,0.02,11.82,52,4.36,33.11
2022-05-24 17:40:00,-0.19,0.05,11.92,50,4.92,22.3
2022-05-24 17:45:00,-0.14,0.09,11.86,50,4.12,41.5
2022-05-24 17:50:00,-0.13,0,11.76,51,5.52,42.06
2022-05-24 17:55:00,-0.13,0.07,11.68,51,7.33,13.94
2022-05-24 18:00:00,-0.01,-0.01,11.87,50,7.42,24.32
2022-05-24 18:05:00,-0.15,0.06,12.23,50,5.95,31.72
2022-05-24 18:10:00,-0.14,0.06,12.08,52,2.96,49.05
2022-05-24 18:15:00,-0.07,0.02,12.1,51,4.31,37.33
2022-05-24 18:20:00,0.02,0.04,11.82,51,4.36,50.61
2022-05-24 18:25:00,-0.2,0.05,11.63,51,6.12,21.6
2022-05-24 18:30:00,-0.31,0.06,11.5,52,3.88,17.53
2022-05-24 18:35:00,0.06,0.01,11.5,52,5.49,20.96
2022-05-24 18:40:00,-0.13,0.07,11.48,52,4.29,31.95
2022-05-24 18:45:00,-0.13,0.04,11.43,53,3.97,43.3
2022-05-24 18:50:00,-0.17,0.03,11.49,53,3.53,49.47
2022-05-24 18:55:00,-0.32,0.06,11.52,53,3.99,35.68
2022-05-24 19:00:00,-0.01,0.02,11.5,52,4.82,0.02
2022-05-24 19:05:00,0.07,0.08,11.48,53,5.69,2.17
2022-05-24 19:10:00,0.05,0.06,11.4,53,5.23,7.27
2022-05-24 19:15:00,-0.06,0.11,11.38,53,5.58,348.5
2022-05-24 19:20:00,-0.01,0.07,11.25,54,5.14,354.7
2022-05-24 19:25:00,0.05,0.06,11.24,54,6.12,344.9
2022-05-24 19:30:00,0.08,0.09,11.1,54,6.34,335.9
2022-05-24 19:35:00,-0.21,0.08,11.08,54,6.82,333.6
2022-05-24 19:40:00,0,0.15,11,54,7.82,347.3
2022-05-24 19:45:00,-0.06,0.14,11,55,6.69,344.2
2022-05-24 19:50:00,0,0.13,11.03,54,6.86,344.9
2022-05-24 19:55:00,0.12,0.05,11.1,54,5.02,5.17
2022-05-24 20:00:00,-0.06,0.13,11.04,54,6.6,9.3
2022-05-24 20:05:00,0.1,0.1,10.91,54,6.05,1.27
2022-05-24 20:10:00,0.12,0.05,10.77,55,5.35,348.1
2022-05-24 20:15:00,0.04,0.14,10.64,56,7.12,342.4
2022-05-24 20:20:00,0,0.06,10.56,56,6.48,340.5
2022-05-24 20:25:00,0.23,0.08,10.5,56,5.69,353.1
