Wood Buffalo Environmental Association - Continuous Ambient Air Quality Monitoring Program
For authorized use only
AMS26, L1, 5Mn
Exported On:,2022/08/24,11:06
Date Range:,2022/5/23,0:00,to,2022/8/23,23:00

Date/Time, SO2 (ppb), H2S (ppb), NO (ppb), NO2 (ppb), NOx (ppb), Wind Speed @ 10m (km/h), Wind Direction @ 10m (deg.), Relative Humidity (%), Temp @ 2m (deg. C)
2022-05-24 10:45:00,-0.19,-0.29,0.22,0.66,0.88,11.95,63.33,76,6.41
2022-05-24 10:50:00,-0.27,-0.28,-0.05,0.17,0.12,12.98,62.12,75,6.47
2022-05-24 10:55:00,-0.24,-0.41,-0.06,0.2,0.14,13.21,57.61,73,6.55
2022-05-24 11:00:00,-0.3,-0.5,-0.01,0.24,0.23,13.26,57.81,73,6.84
2022-05-24 11:05:00,-0.1,-0.33,-0.02,0.14,0.13,13.59,60.04,71,6.88
2022-05-24 11:10:00,-0.18,-0.42,-0.01,0.2,0.19,14.04,51.23,74,7.17
2022-05-24 11:15:00,-0.2,-0.39,2.89,-0.03,2.86,14.18,65.04,71,7.31
2022-05-24 11:20:00,-0.25,-0.23,0.98,0.8,1.78,15.17,60.15,72,7.36
2022-05-24 11:25:00,-0.17,-0.39,-0.04,0.19,0.16,14.25,67.26,71,7.32
2022-05-24 11:30:00,-0.16,-0.3,0.46,0.6,1.06,15.36,70.93,70,7.38
2022-05-24 11:35:00,-0.24,-0.58,-0.05,0.17,0.12,13.56,63.08,70,7.46
2022-05-24 11:40:00,-0.04,-0.4,1.49,0.45,1.94,13.82,52.38,72,7.55
2022-05-24 11:45:00,-0.33,-0.32,0.96,0.63,1.58,16.22,62.77,72,7.74
2022-05-24 11:50:00,-0.2,-0.17,-0.06,0.11,0.05,14.68,64.52,71,7.71
2022-05-24 11:55:00,-0.23,-0.35,-0.04,0.09,0.05,16.73,69.78,71,7.64
2022-05-24 12:00:00,-0.47,-0.28,0.05,0.16,0.21,15.21,55.94,73,7.6
2022-05-24 12:05:00,-0.12,-0.28,0.07,0.12,0.2,16.9,63.49,72,7.72
2022-05-24 12:10:00,-0.29,-0.3,-0.05,0.14,0.09,14.28,67.45,72,7.81
2022-05-24 12:15:00,-0.25,-0.3,-0.02,0.16,0.14,14.09,59.83,71,8.2
2022-05-24 12:20:00,-0.29,-0.49,-0.03,0.13,0.09,15.32,58.11,70,8.25
2022-05-24 12:25:00,-0.17,-0.45,0.57,0.53,1.11,15.11,68.79,69,8.48
2022-05-24 12:30:00,-0.15,-0.39,0.13,0.32,0.45,12.55,81.3,69,8.36
2022-05-24 12:35:00,-0.2,-0.38,-0.06,0.08,0.02,13.8,65.07,69,8.49
2022-05-24 12:40:00,-0.34,-0.38,-0.06,0.09,0.03,14.71,76.18,68,8.5
2022-05-24 12:45:00,-0.16,-0.5,-0.07,0.13,0.07,11.99,65.13,69,8.51
2022-05-24 12:50:00,-0.22,-0.31,-0.07,0.13,0.06,12.97,61.13,69,8.61
2022-05-24 12:55:00,-0.17,-0.31,-0.06,0.07,0.01,11.48,65.86,69,8.77
2022-05-24 13:00:00,-0.22,-0.67,-0.06,0.12,0.05,14.65,81.2,68,8.87
2022-05-24 13:05:00,-0.24,-0.21,-0.08,0.1,0.01,15.17,83.6,68,8.87
2022-05-24 13:10:00,-0.19,-0.25,-0.03,0.12,0.08,9.93,98.2,69,8.94
