Wood Buffalo Environmental Association - Continuous Ambient Air Quality Monitoring Program
For authorized use only
AMS27, L1, 5Mn
Exported On:,2022/08/24,11:06
Date Range:,2022/5/23,0:00,to,2022/8/23,23:00

Date/Time, SO2 (ppb), H2S (ppb), NO (ppb), NO2 (ppb), NOx (ppb), Temperature (deg. C), Relative Humidity (%), Wind Speed @ 10m (km/h), Wind Dir @ 10m (deg)
2022-05-24 10:50:00,-0.51,0.17,0.32,-0.19,0.13,5.68,87,8.72,59.65
2022-05-24 10:55:00,0.02,0.18,0.71,0.18,0.89,5.76,87,9.33,57.48
2022-05-24 11:00:00,0.72,0.22,0.76,1.36,2.13,5.84,87,10.8,61.12
2022-05-24 11:05:00,0.5,0.25,0.69,1.56,2.25,5.94,87,9.38,53.69
2022-05-24 11:10:00,0.41,0.17,0.41,1.05,1.46,6.04,86,9.31,64.73
2022-05-24 11:15:00,-0.03,0.13,0.3,0.83,1.12,6.08,85,10.02,51.22
2022-05-24 11:20:00,-0.24,0.04,0.39,0.73,1.12,6.25,87,7.5,54.73
2022-05-24 11:25:00,-0.26,0.11,0.26,0.45,0.71,6.4,87,8.03,65.92
2022-05-24 11:30:00,0.02,0.12,0.15,0.57,0.72,6.38,86,8.7,47.38
2022-05-24 11:35:00,-0.38,0.15,0.37,0.26,0.63,6.26,86,9,53.48
2022-05-24 11:40:00,0.08,0.2,0.48,0.38,0.86,6.13,85,10.45,61.93
2022-05-24 11:45:00,-0.09,0.18,0.69,0.4,1.09,6.25,87,7.93,62.55
2022-05-24 11:50:00,-0.3,0.16,0.67,0.33,1,6.39,85,8.99,46.71
2022-05-24 11:55:00,-0.34,0.06,0.49,0.26,0.75,6.61,85,10.02,50.24
2022-05-24 12:00:00,-0.43,0.14,0.59,0,0.59,6.73,84,9.04,52.33
2022-05-24 12:05:00,-0.39,0.16,0.31,0.09,0.4,6.94,83,8.41,51.99
2022-05-24 12:10:00,-0.32,0.16,0.14,0.27,0.41,6.92,82,9.1,65.79
2022-05-24 12:15:00,-0.22,0.19,0.35,0.03,0.37,6.93,83,9.99,43.09
2022-05-24 12:20:00,-0.13,0.21,0.46,0.27,0.73,6.9,83,8.85,46.23
2022-05-24 12:25:00,0.04,0.26,0.59,0.56,1.14,6.93,84,8.6,61.69
2022-05-24 12:30:00,0.16,0.25,0.82,0.61,1.42,6.91,83,9.04,64.65
2022-05-24 12:35:00,-0.23,0.26,0.56,0.73,1.3,7.05,84,4.91,61.87
2022-05-24 12:40:00,-0.12,0.22,0.53,0.49,1.01,7.2,83,8.03,72.71
2022-05-24 12:45:00,-0.31,0.3,0.53,0.14,0.67,7.23,82,8.01,56.87
2022-05-24 12:50:00,-0.26,0.27,0.43,-0.21,0.22,7.44,82,6.5,77.09
2022-05-24 12:55:00,0.86,0.21,0.59,0.44,1.03,7.56,80,11.31,87.4
2022-05-24 13:00:00,0.89,0.18,1,0.92,1.92,7.51,79,10.08,85.2
2022-05-24 13:05:00,-0.02,0.32,0.87,0.99,1.86,7.61,80,9.46,70.49
2022-05-24 13:10:00,-0.49,0.26,0.37,0.28,0.64,7.51,78,9.2,110.1
2022-05-24 13:15:00,-0.55,0.23,0.26,0.14,0.4,7.53,78,7.91,120.4
2022-05-24 13:20:00,-0.39,0.28,0.23,0.12,0.35,7.68,79,7.98,105.1
2022-05-24 13:25:00,-0.6,0.28,0.28,0,0.27,7.53,79,9.59,108.9
2022-05-24 13:30:00,-0.44,0.3,0.17,0.03,0.21,7.36,81,9.77,104.4
2022-05-24 13:35:00,0.04,0.33,0.58,0.39,0.98,7.41,82,7.54,93.2
2022-05-24 13:40:00,-0.32,0.29,0.66,0.2,0.86,7.51,83,4.83,81.7
2022-05-24 13:45:00,-0.08,0.38,0.68,0.05,0.73,7.46,83,9.34,86.3
2022-05-24 13:50:00,-0.24,0.37,0.61,0.14,0.74,7.27,83,10.36,87.4
2022-05-24 13:55:00,-0.46,0.19,0.34,-0.03,0.31,7.09,83,9.39,79.7
2022-05-24 14:00:00,-0.35,0.15,0.21,0.1,0.31,7.05,85,8.25,83.1
2022-05-24 14:05:00,-0.34,0.16,0.49,-0.33,0.16,7.24,86,10.48,80.9
2022-05-24 14:10:00,-0.52,0.19,0.55,-0.38,0.17,7.33,87,9.5,75.94
2022-05-24 14:15:00,0.18,0.27,0.4,0.28,0.68,7.46,87,10.37,94.2
2022-05-24 14:20:00,2.3,0.19,1.3,1.47,2.77,7.28,85,11.96,86.2
2022-05-24 14:25:00,2.32,0.12,1.97,1.92,3.89,7.97,84,10.04,71.57
2022-05-24 14:30:00,2.79,0.21,1.8,1.97,3.77,8.48,80,12.5,71.47
2022-05-24 14:35:00,3.47,0.16,1.75,2.1,3.85,8.33,79,10.15,75.18
2022-05-24 14:40:00,2.42,0.17,1.68,2.19,3.86,8.48,77,11.77,64.92
2022-05-24 14:45:00,1.96,0.14,1.49,1.76,3.25,8.57,76,9.92,75.43
2022-05-24 14:50:00,1.12,0.13,1.24,1.23,2.46,8.38,77,9.44,62.73
2022-05-24 14:55:00,1.14,0.09,0.87,0.95,1.82,8.17,79,10.56,77.86
2022-05-24 15:00:00,1.36,0.11,0.67,1.49,2.16,8.14,79,9,66.24
2022-05-24 15:05:00,1.84,0.15,0.68,1.59,2.27,8.15,78,8.72,77.27
2022-05-24 15:10:00,1.87,0.09,1,1.58,2.58,8.1,77,10.2,73.44
2022-05-24 15:15:00,2.44,0.1,0.89,2.15,3.04,8.15,77,9.45,62.28
2022-05-24 15:20:00,4.61,0.14,1.19,3.16,4.35,8.03,78,9.8,75.88
2022-05-24 15:25:00,3.24,0.18,1.85,3.59,5.43,8.25,80,10.37,65.25
2022-05-24 15:30:00,2.64,0.19,1.36,2.82,4.18,8.41,79,9.35,70.05
2022-05-24 15:35:00,3.11,0.21,1.6,2.59,4.19,8.4,78,9.62,81.4
2022-05-24 15:40:00,2.24,0.19,1.77,2.24,4.01,8.37,79,8.13,64.3
2022-05-24 15:45:00,1.82,0.14,1.48,2.21,3.7,8.35,79,11.58,58.63
2022-05-24 15:50:00,1.89,0.25,1.2,1.59,2.79,8.49,78,10.13,62.39
2022-05-24 15:55:00,1.8,0.22,1.46,1.41,2.86,8.69,78,10.27,67.07
2022-05-24 16:00:00,0.62,0.11,0.88,1.12,2,8.44,77,10.33,69.74
2022-05-24 16:05:00,0.11,0.17,0.12,0.48,0.59,8.36,77,9.34,76.13
