Wood Buffalo Environmental Association - Continuous Ambient Air Quality Monitoring Program
For authorized use only
AMS29, L1, 5Mn
Exported On:,2022/08/24,11:07
Date Range:,2022/5/23,0:00,to,2022/8/23,23:00

Date/Time, SO2 (ppb), H2S (ppb), THC (ppm), NO (ppb), NO2 (ppb), NOx (ppb), PM2.5 (ug/m3), Wind Speed @ 10m (km/h), Wind Dir @ 10m (deg.), Relative Humidity (%), Temp @ 2m (deg. C)
2022-05-24 10:55:00,0.26,0.01,2.01,0,0.04,0.04,Cal,4.43,64.12,78,4.44
2022-05-24 11:00:00,0.2,0.05,1.97,-0.03,0.09,0.06,Cal,6.34,82.5,81,4.57
2022-05-24 11:05:00,0.43,-0.21,2.01,0.02,0.1,0.12,Cal,5.24,60.13,81,4.84
2022-05-24 11:10:00,0.24,0.02,1.99,-0.03,0.12,0.09,Cal,6,53.61,80,5.01
2022-05-24 11:15:00,0.33,0.05,1.95,0,0.12,0.12,Cal,5.59,50.08,80,5.18
2022-05-24 11:20:00,0.49,-0.01,1.94,0,0.16,0.16,Cal,4.36,54.59,81,5.6
2022-05-24 11:25:00,0.35,-0.02,1.96,0.06,0.29,0.34,Cal,6.07,39.28,76,5.75
2022-05-24 11:30:00,0.25,-0.08,1.92,0.06,0.38,0.44,Cal,4.63,47.63,77,6.14
2022-05-24 11:35:00,0.42,0.05,1.96,0.1,0.47,0.57,Cal,5.18,62.73,75,6.53
2022-05-24 11:40:00,0.44,0.03,1.94,0.07,0.49,0.56,Cal,5.38,61.03,73,6.58
2022-05-24 11:45:00,0.25,-0.05,2.01,0.1,0.64,0.73,Cal,5.34,34.23,72,6.75
2022-05-24 11:50:00,0.19,-0.14,1.99,0.09,0.79,0.88,0,5.99,42.43,69,6.72
2022-05-24 11:55:00,0.15,-0.11,2,0.06,0.33,0.38,Cal,4.66,54.1,70,6.7
2022-05-24 12:00:00,0.38,0.03,2.01,-0.02,0.2,0.18,Cal,5.23,41.82,68,6.82
2022-05-24 12:05:00,0.33,-0.01,2.01,0.07,0.34,0.4,Cal,5.72,43.02,68,6.95
2022-05-24 12:10:00,0.39,0,2.01,0,0.23,0.23,1.8,5.42,47.03,66,7.53
2022-05-24 12:15:00,0.37,-0.2,2.02,0.01,0.16,0.18,1.97,4.38,77.25,64,7.93
2022-05-24 12:20:00,0.33,-0.03,2.01,0.01,0.13,0.14,2.16,9.16,90.9,60,8.06
2022-05-24 12:25:00,0.31,-0.02,2.01,-0.02,-0.03,-0.04,2.08,10.83,97.1,54,7.84
2022-05-24 12:30:00,0.22,-0.08,2.03,-0.01,-0.04,-0.06,1.79,9.56,100.5,54,8.11
2022-05-24 12:35:00,0.32,-0.23,1.94,0.03,-0.05,-0.03,1.71,8.42,109,53,8.12
2022-05-24 12:40:00,0.29,-0.13,1.93,-0.04,0.01,-0.03,1.8,8.97,123.6,52,8.22
2022-05-24 12:45:00,0.28,-0.21,2,-0.01,-0.02,-0.03,1.84,8.69,96.2,52,8.31
2022-05-24 12:50:00,0.22,-0.08,2.04,-0.02,0.01,-0.01,1.83,9.17,98.5,51,8.54
2022-05-24 12:55:00,0.18,0.01,1.97,-0.06,0.04,-0.02,1.82,11.78,89.3,49,8.51
2022-05-24 13:00:00,0.1,-0.19,1.97,-0.07,0.06,0,1.85,13.45,104.6,48,8.22
2022-05-24 13:05:00,0.23,-0.14,1.98,-0.02,0.02,0,1.89,11.34,99.5,52,8.12
2022-05-24 13:10:00,0.11,-0.16,1.96,-0.03,0.05,0.01,1.99,9.75,118.8,52,7.97
2022-05-24 13:15:00,0.36,0,1.99,-0.01,-0.01,-0.02,2.06,10.55,130.3,52,8.09
2022-05-24 13:20:00,0.46,-0.3,2.04,-0.04,0.02,-0.02,1.97,10.11,101.6,52,8.04
2022-05-24 13:25:00,0.29,-0.15,1.99,-0.03,0.03,-0.01,1.87,10.09,88.8,51,8.39
2022-05-24 13:30:00,0.25,0.06,2.02,-0.05,0.04,-0.02,1.85,12.03,95.9,51,8.34
2022-05-24 13:35:00,0.27,-0.04,2.01,-0.05,0,-0.05,1.85,13.02,110.3,52,8.32
2022-05-24 13:40:00,0,0.06,1.99,-0.03,-0.01,-0.04,1.84,9.79,104.1,53,8.21
2022-05-24 13:45:00,0.13,-0.12,1.97,-0.04,-0.01,-0.06,1.84,11.17,104.3,54,8.18
2022-05-24 13:50:00,0.11,-0.33,1.99,-0.08,0.04,-0.03,1.78,10.94,101.7,55,7.86
2022-05-24 13:55:00,0.08,-0.02,1.96,-0.04,0.03,-0.01,1.75,9.51,109.4,55,8
2022-05-24 14:00:00,0.2,-0.11,1.99,-0.03,0.01,-0.02,1.8,10.11,111.9,55,8.07
