Wood Buffalo Environmental Association - Continuous Ambient Air Quality Monitoring Program
For authorized use only
AMS30, L1, 5Mn
Exported On:,2022/08/24,11:07
Date Range:,2022/5/23,0:00,to,2022/8/23,23:00

Date/Time, SO2 (ppb), TRS (ppb), NO (ppb), NO2 (ppb), NO2 (ppb), NOX (ppb), THC (ppm), PM2.5 (ug/m3), Temp @ 2m (deg. C), Wind Speed @ 10m (km/h), Wind Dir. @ 10m (deg.), Relative Humidity (%), GR W/m2
2022-05-24 10:55:00,0.31,0.36,0.05,0.85,0.85,0.9,1.96,3.93,8.31,11.65,185,40,177.8
2022-05-24 11:00:00,0.23,0.35,0.21,1.18,1.18,1.39,1.96,4.02,8.44,10.48,175.7,40,206.9
2022-05-24 11:05:00,0.09,0.34,0.28,1.44,1.44,1.72,1.96,4.37,8.51,11.63,149.6,40,227.3
2022-05-24 11:10:00,0.16,0.35,0.42,1.6,1.6,2.01,1.96,4.82,8.49,15.49,173.6,40,235.1
2022-05-24 11:15:00,1.6,0.39,0.8,3.01,3.01,3.81,1.97,5.06,8.51,15.63,188.1,41,250.9
2022-05-24 11:20:00,1.29,0.43,0.66,2.77,2.77,3.43,1.97,5.41,8.32,13.94,168.8,43,258
2022-05-24 11:25:00,1.83,0.42,0.85,3.39,3.39,4.25,1.97,5.49,8.46,11.3,180.2,44,252.3
2022-05-24 11:30:00,2.05,0.45,0.76,3.39,3.39,4.14,1.97,5.47,8.34,16.67,168.2,45,255
2022-05-24 11:35:00,0.9,0.4,0.5,2.38,2.38,2.88,1.96,5.51,8.14,15.05,159.1,46,264.9
2022-05-24 11:40:00,1.22,0.37,0.57,2.37,2.37,2.94,1.96,5.32,8.21,13.54,143.6,46,260.2
2022-05-24 11:45:00,1.72,0.44,0.83,2.88,2.88,3.7,1.96,5.12,8.3,13.72,167.2,46,247.5
2022-05-24 11:50:00,1.27,0.47,0.42,2.09,2.09,2.51,1.96,5.09,8.15,18.36,172.4,47,228.7
2022-05-24 11:55:00,1.37,0.46,0.45,2.1,2.1,2.55,1.96,5.02,7.71,11.15,156.5,49,213.8
2022-05-24 12:00:00,1.61,0.47,0.36,2.39,2.39,2.74,1.96,4.86,7.79,11.44,190.7,50,173.2
2022-05-24 12:05:00,0.99,0.43,0.17,1.75,1.75,1.92,1.95,4.7,7.73,21.25,164.1,52,141.6
2022-05-24 12:10:00,0.41,0.41,0.09,1.32,1.32,1.41,1.95,4.37,7.18,15.75,154.4,55,148.8
2022-05-24 12:15:00,0.76,0.37,0.2,1.49,1.49,1.69,1.95,4.18,7.19,9.85,189.6,56,186.4
2022-05-24 12:20:00,0.97,0.42,0.21,1.75,1.75,1.97,1.95,4.33,7.19,13.67,172.5,58,177
2022-05-24 12:25:00,1.85,0.48,0.53,2.57,2.57,3.1,1.96,4.55,6.9,15.57,187.9,61,182.8
2022-05-24 12:30:00,1.94,0.46,0.49,2.59,2.59,3.08,1.96,4.67,6.67,14.33,200,62,186.8
2022-05-24 12:35:00,1.91,0.47,0.51,2.79,2.79,3.3,1.97,4.75,6.68,15.77,187.9,62,186.5
2022-05-24 12:40:00,2.22,0.49,0.57,2.91,2.91,3.48,1.97,4.94,6.41,16.7,189.5,65,186.5
2022-05-24 12:45:00,2.12,0.49,0.66,2.81,2.81,3.47,1.97,5.15,6.11,15.79,191.1,69,224.5
2022-05-24 12:50:00,1.06,0.49,0.44,2.22,2.22,2.66,1.96,5.12,6.16,12.16,189.6,72,240.2
2022-05-24 12:55:00,0.37,0.46,0.26,1.67,1.67,1.93,1.96,4.9,6.23,12.5,168.8,71,237.2
2022-05-24 13:00:00,0.2,0.44,0.25,1.3,1.3,1.55,1.95,4.68,6.27,10.41,155.8,71,227.1
2022-05-24 13:05:00,0.35,0.4,0.15,0.89,0.89,1.04,1.95,4.16,6.29,10.79,141,72,211.7
2022-05-24 13:10:00,0.05,0.42,0.08,0.61,0.61,0.69,1.94,3.65,6.26,11.14,149.4,71,207.3
2022-05-24 13:15:00,0,0.39,0.03,0.47,0.47,0.5,1.94,3.42,6.21,8.85,150.6,72,197.3
2022-05-24 13:20:00,0.02,0.4,0,0.56,0.56,0.56,1.94,3.44,6.29,7.99,146.4,73,202.7
2022-05-24 13:25:00,0.08,0.4,0.07,0.6,0.6,0.67,1.94,3.51,6.46,8.46,113.8,74,202.3
2022-05-24 13:30:00,0,0.39,0.06,0.84,0.84,0.9,1.96,3.43,6.6,8.94,115.5,72,195.3
2022-05-24 13:35:00,0.01,0.39,0,0.22,0.22,0.21,1.94,3.32,6.54,9.42,106.6,71,168.6
2022-05-24 13:40:00,0,0.41,0,0.34,0.34,0.24,1.94,3.31,6.53,7.98,103.1,70,165.8
2022-05-24 13:45:00,0.02,0.39,0,0.36,0.36,0.33,1.94,3.35,6.69,6.51,98,70,161.6
