Wood Buffalo Environmental Association - Continuous Ambient Air Quality Monitoring Program
For authorized use only
AMS507, L1, 5Mn
Exported On:,2022/08/24,11:07
Date Range:,2022/5/23,0:00,to,2022/8/23,23:00

Date/Time, SO2 (ppb), H2S (ppb), NO (ppb), NO2 (ppb), NOx (ppb), THC (ppm), Temperature (deg. C), Relative Humidity (%), Wind Speed (km/h), Wind Dir (deg)
2022-05-23 00:00:00,0.18,-1.99,-0.29,0.51,0.22,Z/S,7.57,71,13.4,104.2
2022-05-23 00:05:00,Z/S,-1.9,-0.34,0.61,0.27,Z/S,7.66,71,7.9,87
2022-05-23 00:10:00,Z/S,-1.73,-0.38,0.66,0.27,Z/S,7.7,70,6.66,87.6
2022-05-23 00:15:00,Z/S,-1.9,-0.35,0.56,0.22,Z/S,7.63,71,7.13,77.24
2022-05-23 00:20:00,Z/S,-1.95,-0.39,0.58,0.19,Z/S,7.6,71,7.3,51.98
2022-05-23 00:25:00,Z/S,-1.93,-0.33,0.53,0.2,Z/S,7.48,72,7.05,64.52
2022-05-23 00:30:00,Z/S,-1.78,-0.36,0.54,0.18,Z/S,7.27,73,7.62,65.1
2022-05-23 00:35:00,Z/S,-1.69,-0.3,0.5,0.2,Z/S,7.24,73,8.62,69.64
2022-05-23 00:40:00,Z/S,-1.91,-0.42,0.52,0.1,Z/S,7.26,73,5.71,63.57
2022-05-23 00:45:00,Z/S,-2.01,-0.53,0.44,-0.09,Z/S,7.17,73,6.67,78.48
2022-05-23 00:50:00,Z/S,-1.94,-0.5,0.42,-0.09,Z/S,7.1,73,4.42,84.3
2022-05-23 00:55:00,Z/S,-1.79,-0.47,0.49,0.02,Z/S,6.99,74,6.19,142.6
2022-05-23 01:00:00,Z/S,Z/S,-0.33,0.51,0.17,Z/S,6.78,75,7.13,157.3
2022-05-23 01:05:00,0.05,Z/S,-0.26,0.42,0.15,2.11,6.8,75,4.78,187.7
2022-05-23 01:10:00,0.34,Z/S,-0.29,0.45,0.16,2.05,6.88,75,6.01,198.8
2022-05-23 01:15:00,0.1,Z/S,-0.34,0.51,0.17,2.13,6.87,75,4.88,212.3
2022-05-23 01:20:00,0.08,Z/S,-0.37,0.53,0.16,2.23,6.88,75,7.74,302.4
2022-05-23 01:25:00,0.14,Z/S,-0.35,0.51,0.15,2.32,7.38,73,8.28,322.3
2022-05-23 01:30:00,0.81,Z/S,-0.36,0.86,0.5,2.17,7.53,72,4.35,292.9
2022-05-23 01:35:00,0.65,Z/S,-0.32,1.27,0.96,2.23,7.55,72,4.95,346
2022-05-23 01:40:00,0.36,Z/S,-0.33,0.83,0.5,2.23,7.17,73,4.8,269.9
2022-05-23 01:45:00,0.63,Z/S,-0.35,0.75,0.4,2.17,7.28,73,4.55,296.8
2022-05-23 01:50:00,0.96,Z/S,-0.39,1.12,0.73,2.15,7.27,73,4.35,304.9
2022-05-23 01:55:00,1.01,Z/S,-0.43,1.59,1.16,2.22,7.26,74,4.05,348.9
2022-05-23 02:00:00,0.53,Z/S,-0.38,1.03,0.65,2.13,7.04,74,5.35,42.6
2022-05-23 02:05:00,-0.12,-1.84,-0.31,0.65,0.34,2.1,6.6,76,5.88,51.92
2022-05-23 02:10:00,0.09,-1.93,-0.33,0.44,0.11,2.04,6.26,78,7.2,55.15
2022-05-23 02:15:00,0.28,-1.78,-0.25,0.36,0.11,2.08,6.16,79,7.43,66.59
2022-05-23 02:20:00,0.2,-1.77,-0.23,0.41,0.18,2.13,6,80,8.02,66.76
2022-05-23 02:25:00,-0.09,-1.76,-0.3,0.43,0.13,2.14,5.85,81,6.95,64.69
2022-05-23 02:30:00,0.37,-1.76,-0.27,0.39,0.12,2.1,5.7,82,7.16,63.3
2022-05-23 02:35:00,0.27,-1.69,-0.31,0.48,0.16,2.07,5.53,83,6.58,64.69
2022-05-23 02:40:00,0.15,-1.73,-0.39,0.44,0.05,2.07,5.43,83,7.13,71.99
2022-05-23 02:45:00,-0.28,-1.83,-0.38,0.37,-0.01,2.15,5.29,84,7.36,87.7
2022-05-23 02:50:00,-0.43,-1.79,-0.39,0.36,-0.04,2.13,5.11,85,7.16,82.7
2022-05-23 02:55:00,-0.18,-1.62,-0.44,0.47,0.03,2.11,5.03,86,8.43,74.41
2022-05-23 03:00:00,0.05,-1.59,-0.37,0.39,0.02,2.1,4.84,86,7.37,89.4
2022-05-23 03:05:00,-0.05,-1.64,-0.29,0.31,0.02,2.11,4.7,87,7.71,80.9
2022-05-23 03:10:00,-0.42,-1.64,-0.33,0.3,-0.03,2.11,4.66,87,7.7,79.47
2022-05-23 03:15:00,0.02,-1.74,-0.28,0.2,-0.08,2.17,4.51,88,6.84,80.3
2022-05-23 03:20:00,0.12,-1.64,-0.3,0.2,-0.09,2.14,4.39,88,7.54,87
2022-05-23 03:25:00,0.07,-1.68,-0.33,0.26,-0.07,2.14,4.26,88,7.82,91.9
2022-05-23 03:30:00,0.07,-1.78,-0.27,0.24,-0.03,2.11,4.19,89,8.01,85.2
2022-05-23 03:35:00,0,-1.81,-0.33,0.27,-0.06,2.1,4.1,89,7.02,83.7
2022-05-23 03:40:00,-0.06,-1.68,-0.37,0.34,-0.03,2.15,4.03,89,7.98,86.2
2022-05-23 03:45:00,0.04,-1.71,-0.34,0.34,0,2.15,4.04,89,9.77,83.7
2022-05-23 03:50:00,0.02,-1.67,-0.21,0.16,-0.05,2.12,4.1,89,8.94,79.94
2022-05-23 03:55:00,-0.26,-1.84,-0.28,0.25,-0.02,2.09,4.1,89,8.25,84.9
2022-05-23 04:00:00,-0.2,-1.82,-0.37,0.31,-0.05,2.14,4.16,90,8.66,77.39
2022-05-23 04:05:00,-0.29,-1.72,Z/S,Z/S,Z/S,2.17,4.2,90,7.92,73.67
2022-05-23 04:10:00,-0.25,-1.63,Z/S,Z/S,Z/S,2.13,4.21,90,7.82,73.75
2022-05-23 04:15:00,-0.06,-1.62,Z/S,Z/S,Z/S,2.14,4.3,90,9.04,62.82
2022-05-23 04:20:00,-0.18,-1.63,Z/S,Z/S,Z/S,2.12,4.31,90,9.78,66.89
2022-05-23 04:25:00,-0.11,-1.57,Z/S,Z/S,Z/S,2.13,4.38,90,8.97,83.9
2022-05-23 04:30:00,-0.08,-1.68,409.4,406.6,816,2.16,4.4,90,7.84,78.97
2022-05-23 04:35:00,0.01,-1.61,Z/S,Z/S,Z/S,2.15,4.4,90,7.01,89.1
2022-05-23 04:40:00,0,-1.61,Z/S,Z/S,Z/S,2.14,4.34,90,8.35,113.4
2022-05-23 04:45:00,-0.18,-1.6,-0.03,0.41,0.38,2.14,4.14,90,8.12,117.8
2022-05-23 04:50:00,-0.1,-1.73,Z/S,Z/S,Z/S,2.14,4.01,91,6.98,111.7
2022-05-23 04:55:00,-0.02,-1.66,Z/S,Z/S,Z/S,2.11,4.06,91,6.3,95.1
2022-05-23 05:00:00,-0.34,-1.62,-0.46,1.2,0.74,2.18,4.01,91,8.1,97.9
2022-05-23 05:05:00,-0.09,-1.7,-0.55,0.89,0.34,2.18,3.87,91,7.67,107.5
2022-05-23 05:10:00,-0.24,-1.66,-0.5,0.74,0.24,2.18,3.73,91,9.14,113.8
2022-05-23 05:15:00,0.08,-1.75,-0.45,0.71,0.26,2.18,3.66,91,8.26,121.5
2022-05-23 05:20:00,-0.11,-1.62,-0.32,0.56,0.24,2.16,3.6,92,6.48,125
2022-05-23 05:25:00,-0.06,-1.66,-0.28,0.47,0.19,2.17,3.6,92,6.62,110
2022-05-23 05:30:00,-0.03,-1.67,-0.26,0.44,0.17,2.22,3.73,92,6.33,104.4
2022-05-23 05:35:00,0.05,-1.6,-0.28,0.44,0.16,2.21,3.8,91,7.92,104.5
2022-05-23 05:40:00,-0.08,-1.65,-0.28,0.42,0.14,2.18,3.92,91,9.03,101.3
2022-05-23 05:45:00,-0.06,-1.8,-0.21,0.35,0.15,2.15,4.34,90,8.24,110
2022-05-23 05:50:00,-0.22,-1.74,-0.26,0.36,0.1,2.17,4.71,88,6.64,119.2
2022-05-23 05:55:00,0.03,-1.74,-0.17,0.3,0.13,2.22,5.01,86,7.34,124.3
2022-05-23 06:00:00,0,-1.72,-0.12,0.31,0.19,2.19,5.18,85,8.55,126.9
2022-05-23 06:05:00,-0.05,-1.73,-0.12,0.92,0.8,2.18,5.23,84,8.09,130.9
2022-05-23 06:10:00,-0.1,-1.64,0.09,1.82,1.91,2.19,5.53,83,9.28,125.7
2022-05-23 06:15:00,0.04,-1.72,0.17,1.89,2.06,2.14,5.79,81,7.72,95.4
2022-05-23 06:20:00,-0.14,-1.75,0.12,1.96,2.09,2.16,6,80,9.74,102.5
2022-05-23 06:25:00,-0.15,-1.65,0.11,1.8,1.91,2.21,6.14,79,10.3,105
2022-05-23 06:30:00,-0.23,-1.75,0.02,1.44,1.46,2.19,6.38,78,11.81,102.9
2022-05-23 06:35:00,-0.02,-1.8,-0.19,0.8,0.61,2.17,6.38,77,10.89,92.2
2022-05-23 06:40:00,0.08,-1.76,-0.34,0.36,0.02,2.16,6.32,77,11.23,89.8
2022-05-23 06:45:00,0.06,-1.75,-0.3,0.29,-0.02,2.18,6.47,76,11.12,99.5
2022-05-23 06:50:00,0.09,-1.7,-0.31,0.33,0.03,2.15,6.44,76,9.52,87.7
2022-05-23 06:55:00,-0.29,-1.8,-0.22,0.31,0.09,2.13,6.36,76,11.18,88
2022-05-23 07:00:00,-0.52,-1.86,-0.21,0.34,0.14,2.16,6.28,77,8.59,112.4
2022-05-23 07:05:00,-0.35,-1.76,-0.18,0.42,0.24,2.15,6.3,77,8.07,91.1
2022-05-23 07:10:00,-0.2,-1.81,-0.18,0.41,0.24,2.09,6.4,76,10.1,93.6
2022-05-23 07:15:00,0.03,-1.74,-0.27,0.41,0.14,2.1,6.47,75,10.81,98.8
2022-05-23 07:20:00,0.04,-1.72,-0.33,0.4,0.07,2.11,6.55,74,9.16,93.1
2022-05-23 07:25:00,-0.19,-1.79,-0.3,0.38,0.08,2.11,6.56,73,11.01,97.3
2022-05-23 07:30:00,-0.28,-1.82,-0.24,0.41,0.17,2.12,6.63,73,10.03,100.4
2022-05-23 07:35:00,-0.25,-1.83,-0.21,0.31,0.1,2.1,6.8,73,9.32,94.8
2022-05-23 07:40:00,-0.24,-1.78,-0.33,0.46,0.12,2.12,6.97,73,9.22,108.7
2022-05-23 07:45:00,0.14,-1.86,-0.35,0.38,0.02,2.08,7.07,72,9.36,110.3
2022-05-23 07:50:00,0.33,-1.88,-0.32,0.29,-0.03,2.14,7.17,72,8.79,111.2
2022-05-23 07:55:00,0.08,-1.8,-0.32,0.28,-0.04,2.14,7.38,71,9.32,117.8
2022-05-23 08:00:00,-0.13,-1.88,-0.28,0.29,0.01,2.14,7.6,69,8.44,117.7
2022-05-23 08:05:00,-0.18,-1.9,-0.2,0.21,0.01,2.15,7.68,69,10.22,98.2
2022-05-23 08:10:00,-0.12,-1.8,-0.34,0.39,0.06,2.13,7.8,68,10.7,110.5
2022-05-23 08:15:00,0.07,-1.66,-0.34,0.39,0.05,2.14,7.88,68,9.64,122.3
2022-05-23 08:20:00,0.06,-1.75,-0.32,0.37,0.05,2.15,8.2,67,9.79,128.6
2022-05-23 08:25:00,-0.35,-1.68,-0.2,0.3,0.1,2.14,8.3,67,8.4,122.3
2022-05-23 08:30:00,-0.47,-1.82,-0.14,0.22,0.08,2.15,8.53,66,9.61,92.8
2022-05-23 08:35:00,-0.49,-1.79,-0.22,0.38,0.15,2.14,8.12,67,9.18,81
2022-05-23 08:40:00,-0.19,-1.79,-0.27,0.44,0.17,2.14,8.57,65,9.31,96.9
2022-05-23 08:45:00,0.04,-1.69,-0.21,0.32,0.11,2.1,8.64,65,6.61,122.5
2022-05-23 08:50:00,0.05,-1.77,-0.22,0.22,0,2.14,9.15,64,7.53,98.1
2022-05-23 08:55:00,0.03,-1.83,-0.29,0.29,0,2.16,9.31,63,9.33,109.4
2022-05-23 09:00:00,0.17,-1.99,-0.26,0.36,0.09,2.13,9.13,63,9.4,74.47
2022-05-23 09:05:00,-0.08,-1.88,-0.22,0.34,0.11,2.16,9.29,63,8.72,111.6
2022-05-23 09:10:00,0,-1.83,-0.26,0.42,0.16,2.18,9.83,61,8.25,159.3
2022-05-23 09:15:00,0.14,-1.83,-0.26,0.32,0.06,2.17,10.02,60,6.46,151.5
2022-05-23 09:20:00,0.18,-1.78,-0.28,0.27,-0.01,2.16,9.99,60,8.69,80.8
2022-05-23 09:25:00,0.07,-1.76,-0.29,0.35,0.07,2.22,10.1,60,7.21,101.8
2022-05-23 09:30:00,-0.03,-1.76,-0.24,0.45,0.21,2.22,10.27,59,8.06,67.62
2022-05-23 09:35:00,0.15,-1.66,-0.24,0.41,0.18,2.24,10.08,59,7.12,43.84
2022-05-23 09:40:00,-0.05,-1.72,-0.28,0.42,0.15,2.23,10.15,59,7.14,74.01
2022-05-23 09:45:00,-0.04,-1.71,-0.35,0.38,0.04,2.28,10.68,57,3.54,135.2
2022-05-23 09:50:00,0.06,-1.63,-0.39,0.39,0,2.2,11.32,54,3.78,134.4
2022-05-23 09:55:00,1.44,-1.64,-0.24,0.55,0.31,2.23,10.93,55,5.46,56.02
2022-05-23 10:00:00,0.54,-1.73,-0.3,0.59,0.29,2.25,10.76,56,6.12,338.9
2022-05-23 10:05:00,0.62,-1.8,-0.42,0.55,0.13,2.23,10.92,56,6.99,283.8
2022-05-23 10:10:00,2.27,-1.81,-0.21,0.61,0.4,2.21,11.36,54,4.69,210.4
2022-05-23 10:15:00,3.5,-1.72,0.18,1.44,1.63,2.19,11.45,53,6.52,319.9
2022-05-23 10:20:00,2.58,-1.79,0.28,1.56,1.84,2.25,11.18,54,6.32,353.8
2022-05-23 10:25:00,0.16,-1.81,-0.1,0.67,0.56,2.22,11.31,54,7.69,352.2
2022-05-23 10:30:00,-0.06,-1.81,-0.26,0.31,0.05,2.19,11.11,55,6.94,303.1
2022-05-23 10:35:00,0.23,-1.78,-0.37,0.4,0.03,2.16,11.55,54,3.76,265.3
2022-05-23 10:40:00,0.02,-1.81,-0.42,0.37,-0.04,2.17,11.89,53,5.6,11.2
2022-05-23 10:45:00,0.15,-1.89,-0.27,0.13,-0.14,2.16,12.15,52,9.12,70.06
2022-05-23 10:50:00,0.1,-1.86,-0.37,0.25,-0.12,2.23,12.36,51,7.42,41.58
2022-05-23 10:55:00,0.16,-1.93,-0.43,0.31,-0.12,2.19,11.88,52,8.4,351.4
2022-05-23 11:00:00,0.16,-1.84,-0.43,0.26,-0.17,2.3,11.89,52,6.56,23.86
2022-05-23 11:05:00,0.33,-1.82,-0.33,0.15,-0.18,2.2,12.23,52,4.9,318.7
